plate_map_name	well_position	broad_sample
OAB25.26.27.28.A	A01	ccsbBroad304_07838
OAB25.26.27.28.A	A02	ccsbBroad304_11270
OAB25.26.27.28.A	A03	BAD CONSTRUCT
OAB25.26.27.28.A	A04	ccsbBroad304_13317
OAB25.26.27.28.A	A05	ccsbBroad304_05970
OAB25.26.27.28.A	A06	ccsbBroad304_00253
OAB25.26.27.28.A	A07	ccsbBroad304_15786
OAB25.26.27.28.A	A08	ccsbBroad304_00172
OAB25.26.27.28.A	A09	ccsbBroad304_08520
OAB25.26.27.28.A	A10	ccsbBroad304_01070
OAB25.26.27.28.A	A11	ccsbBroad304_12917
OAB25.26.27.28.A	A12	ccsbBroad304_00352
OAB25.26.27.28.A	A13	ccsbBroad304_00741
OAB25.26.27.28.A	A14	ccsbBroad304_01495
OAB25.26.27.28.A	A15	ccsbBroad304_02060
OAB25.26.27.28.A	A16	ccsbBroad304_11348
OAB25.26.27.28.A	A17	ccsbBroad304_08683
OAB25.26.27.28.A	A18	ccsbBroad304_00583
OAB25.26.27.28.A	A19	ccsbBroad304_08994
OAB25.26.27.28.A	A20	ccsbBroad304_08929
OAB25.26.27.28.A	A21	ccsbBroad304_03281
OAB25.26.27.28.A	A22	ccsbBroad304_12216
OAB25.26.27.28.A	A23	ccsbBroad304_10991
OAB25.26.27.28.A	A24	ccsbBroad304_12249
OAB25.26.27.28.A	B01	ccsbBroad304_15822
OAB25.26.27.28.A	B02	ccsbBroad304_00555
OAB25.26.27.28.A	B03	ccsbBroad304_08221
OAB25.26.27.28.A	B04	ccsbBroad304_99988
OAB25.26.27.28.A	B05	ccsbBroad304_10248
OAB25.26.27.28.A	B06	ccsbBroad304_08895
OAB25.26.27.28.A	B07	ccsbBroad304_16113
OAB25.26.27.28.A	B08	ccsbBroad304_15792
OAB25.26.27.28.A	B09	ccsbBroad304_03439
OAB25.26.27.28.A	B10	ccsbBroad304_15522
OAB25.26.27.28.A	B11	ccsbBroad304_01850
OAB25.26.27.28.A	B12	ccsbBroad304_03545
OAB25.26.27.28.A	B13	ccsbBroad304_07587
OAB25.26.27.28.A	B14	ccsbBroad304_04698
OAB25.26.27.28.A	B15	ccsbBroad304_01786
OAB25.26.27.28.A	B16	ccsbBroad304_12043
OAB25.26.27.28.A	B17	ccsbBroad304_04609
OAB25.26.27.28.A	B18	ccsbBroad304_14331
OAB25.26.27.28.A	B19	ccsbBroad304_04737
OAB25.26.27.28.A	B20	ccsbBroad304_06223
OAB25.26.27.28.A	B21	ccsbBroad304_13508
OAB25.26.27.28.A	B22	ccsbBroad304_07763
OAB25.26.27.28.A	B23	ccsbBroad304_11695
OAB25.26.27.28.A	B24	ccsbBroad304_00566
OAB25.26.27.28.A	C01	ccsbBroad304_08568
OAB25.26.27.28.A	C02	ccsbBroad304_99985
OAB25.26.27.28.A	C03	ccsbBroad304_10762
OAB25.26.27.28.A	C04	ccsbBroad304_07104
OAB25.26.27.28.A	C05	ccsbBroad304_03437
OAB25.26.27.28.A	C06	ccsbBroad304_99994
OAB25.26.27.28.A	C07	ccsbBroad304_14122
OAB25.26.27.28.A	C08	ccsbBroad304_15012
OAB25.26.27.28.A	C09	ccsbBroad304_13046
OAB25.26.27.28.A	C10	ccsbBroad304_02774
OAB25.26.27.28.A	C11	ccsbBroad304_08298
OAB25.26.27.28.A	C12	ccsbBroad304_04415
OAB25.26.27.28.A	C13	ccsbBroad304_00051
OAB25.26.27.28.A	C14	ccsbBroad304_13679
OAB25.26.27.28.A	C15	ccsbBroad304_00050
OAB25.26.27.28.A	C16	ccsbBroad304_12664
OAB25.26.27.28.A	C17	
OAB25.26.27.28.A	C18	ccsbBroad304_06876
OAB25.26.27.28.A	C19	ccsbBroad304_99991
OAB25.26.27.28.A	C20	ccsbBroad304_12793
OAB25.26.27.28.A	C21	ccsbBroad304_02893
OAB25.26.27.28.A	C22	ccsbBroad304_06594
OAB25.26.27.28.A	C23	ccsbBroad304_05242
OAB25.26.27.28.A	C24	ccsbBroad304_01925
OAB25.26.27.28.A	D01	ccsbBroad304_99988
OAB25.26.27.28.A	D02	ccsbBroad304_13181
OAB25.26.27.28.A	D03	ccsbBroad304_08201
OAB25.26.27.28.A	D04	ccsbBroad304_09422
OAB25.26.27.28.A	D05	ccsbBroad304_04263
OAB25.26.27.28.A	D06	ccsbBroad304_11981
OAB25.26.27.28.A	D07	ccsbBroad304_06670
OAB25.26.27.28.A	D08	ccsbBroad304_06198
OAB25.26.27.28.A	D09	ccsbBroad304_12462
OAB25.26.27.28.A	D10	ccsbBroad304_07544
OAB25.26.27.28.A	D11	ccsbBroad304_02183
OAB25.26.27.28.A	D12	ccsbBroad304_11720
OAB25.26.27.28.A	D13	ccsbBroad304_03981
OAB25.26.27.28.A	D14	ccsbBroad304_12117
OAB25.26.27.28.A	D15	ccsbBroad304_00077
OAB25.26.27.28.A	D16	ccsbBroad304_11830
OAB25.26.27.28.A	D17	ccsbBroad304_12523
OAB25.26.27.28.A	D18	ccsbBroad304_05184
OAB25.26.27.28.A	D19	ccsbBroad304_11889
OAB25.26.27.28.A	D20	ccsbBroad304_10789
OAB25.26.27.28.A	D21	ccsbBroad304_04938
OAB25.26.27.28.A	D22	ccsbBroad304_05294
OAB25.26.27.28.A	D23	ccsbBroad304_01262
OAB25.26.27.28.A	D24	ccsbBroad304_03474
OAB25.26.27.28.A	E01	
OAB25.26.27.28.A	E02	ccsbBroad304_04633
OAB25.26.27.28.A	E03	ccsbBroad304_06491
OAB25.26.27.28.A	E04	ccsbBroad304_01227
OAB25.26.27.28.A	E05	ccsbBroad304_10078
OAB25.26.27.28.A	E06	ccsbBroad304_09489
OAB25.26.27.28.A	E07	ccsbBroad304_09561
OAB25.26.27.28.A	E08	ccsbBroad304_04971
OAB25.26.27.28.A	E09	ccsbBroad304_06427
OAB25.26.27.28.A	E10	ccsbBroad304_99988
OAB25.26.27.28.A	E11	ccsbBroad304_02348
OAB25.26.27.28.A	E12	ccsbBroad304_02564
OAB25.26.27.28.A	E13	ccsbBroad304_15991
OAB25.26.27.28.A	E14	ccsbBroad304_03601
OAB25.26.27.28.A	E15	ccsbBroad304_00370
OAB25.26.27.28.A	E16	ccsbBroad304_11172
OAB25.26.27.28.A	E17	ccsbBroad304_01531
OAB25.26.27.28.A	E18	ccsbBroad304_10399
OAB25.26.27.28.A	E19	ccsbBroad304_08648
OAB25.26.27.28.A	E20	ccsbBroad304_13912
OAB25.26.27.28.A	E21	ccsbBroad304_06241
OAB25.26.27.28.A	E22	ccsbBroad304_00695
OAB25.26.27.28.A	E23	ccsbBroad304_02663
OAB25.26.27.28.A	E24	ccsbBroad304_01473
OAB25.26.27.28.A	F01	ccsbBroad304_01643
OAB25.26.27.28.A	F02	
OAB25.26.27.28.A	F03	ccsbBroad304_12616
OAB25.26.27.28.A	F04	ccsbBroad304_08645
OAB25.26.27.28.A	F05	ccsbBroad304_99994
OAB25.26.27.28.A	F06	ccsbBroad304_99985
OAB25.26.27.28.A	F07	ccsbBroad304_12489
OAB25.26.27.28.A	F08	ccsbBroad304_15709
OAB25.26.27.28.A	F09	ccsbBroad304_04979
OAB25.26.27.28.A	F10	ccsbBroad304_12827
OAB25.26.27.28.A	F11	ccsbBroad304_09162
OAB25.26.27.28.A	F12	ccsbBroad304_13218
OAB25.26.27.28.A	F13	ccsbBroad304_06725
OAB25.26.27.28.A	F14	ccsbBroad304_09638
OAB25.26.27.28.A	F15	ccsbBroad304_08686
OAB25.26.27.28.A	F16	ccsbBroad304_00338
OAB25.26.27.28.A	F17	ccsbBroad304_06538
OAB25.26.27.28.A	F18	ccsbBroad304_10742
OAB25.26.27.28.A	F19	ccsbBroad304_04073
OAB25.26.27.28.A	F20	ccsbBroad304_11382
OAB25.26.27.28.A	F21	ccsbBroad304_05071
OAB25.26.27.28.A	F22	ccsbBroad304_09219
OAB25.26.27.28.A	F23	
OAB25.26.27.28.A	F24	ccsbBroad304_07272
OAB25.26.27.28.A	G01	ccsbBroad304_07730
OAB25.26.27.28.A	G02	ccsbBroad304_04276
OAB25.26.27.28.A	G03	ccsbBroad304_13529
OAB25.26.27.28.A	G04	ccsbBroad304_10222
OAB25.26.27.28.A	G05	ccsbBroad304_08779
OAB25.26.27.28.A	G06	ccsbBroad304_10877
OAB25.26.27.28.A	G07	ccsbBroad304_07785
OAB25.26.27.28.A	G08	ccsbBroad304_05920
OAB25.26.27.28.A	G09	ccsbBroad304_99985
OAB25.26.27.28.A	G10	ccsbBroad304_01519
OAB25.26.27.28.A	G11	ccsbBroad304_99994
OAB25.26.27.28.A	G12	ccsbBroad304_04640
OAB25.26.27.28.A	G13	ccsbBroad304_15955
OAB25.26.27.28.A	G14	ccsbBroad304_14489
OAB25.26.27.28.A	G15	ccsbBroad304_06787
OAB25.26.27.28.A	G16	ccsbBroad304_04579
OAB25.26.27.28.A	G17	ccsbBroad304_04164
OAB25.26.27.28.A	G18	ccsbBroad304_06349
OAB25.26.27.28.A	G19	ccsbBroad304_06778
OAB25.26.27.28.A	G20	ccsbBroad304_04384
OAB25.26.27.28.A	G21	ccsbBroad304_00480
OAB25.26.27.28.A	G22	ccsbBroad304_12220
OAB25.26.27.28.A	G23	ccsbBroad304_09385
OAB25.26.27.28.A	G24	ccsbBroad304_12657
OAB25.26.27.28.A	H01	ccsbBroad304_10297
OAB25.26.27.28.A	H02	ccsbBroad304_15689
OAB25.26.27.28.A	H03	ccsbBroad304_14459
OAB25.26.27.28.A	H04	ccsbBroad304_01259
OAB25.26.27.28.A	H05	ccsbBroad304_04258
OAB25.26.27.28.A	H06	ccsbBroad304_08081
OAB25.26.27.28.A	H07	ccsbBroad304_07190
OAB25.26.27.28.A	H08	ccsbBroad304_06134
OAB25.26.27.28.A	H09	ccsbBroad304_06065
OAB25.26.27.28.A	H10	ccsbBroad304_05819
OAB25.26.27.28.A	H11	ccsbBroad304_07313
OAB25.26.27.28.A	H12	ccsbBroad304_04704
OAB25.26.27.28.A	H13	ccsbBroad304_06169
OAB25.26.27.28.A	H14	ccsbBroad304_03101
OAB25.26.27.28.A	H15	ccsbBroad304_03191
OAB25.26.27.28.A	H16	ccsbBroad304_09058
OAB25.26.27.28.A	H17	ccsbBroad304_05756
OAB25.26.27.28.A	H18	ccsbBroad304_00397
OAB25.26.27.28.A	H19	ccsbBroad304_06094
OAB25.26.27.28.A	H20	ccsbBroad304_13971
OAB25.26.27.28.A	H21	ccsbBroad304_07019
OAB25.26.27.28.A	H22	ccsbBroad304_07279
OAB25.26.27.28.A	H23	ccsbBroad304_03351
OAB25.26.27.28.A	H24	ccsbBroad304_08128
OAB25.26.27.28.A	I01	ccsbBroad304_07869
OAB25.26.27.28.A	I02	ccsbBroad304_11468
OAB25.26.27.28.A	I03	ccsbBroad304_01844
OAB25.26.27.28.A	I04	ccsbBroad304_12566
OAB25.26.27.28.A	I05	ccsbBroad304_11834
OAB25.26.27.28.A	I06	ccsbBroad304_14201
OAB25.26.27.28.A	I07	ccsbBroad304_15844
OAB25.26.27.28.A	I08	ccsbBroad304_11107
OAB25.26.27.28.A	I09	ccsbBroad304_02894
OAB25.26.27.28.A	I10	ccsbBroad304_13213
OAB25.26.27.28.A	I11	ccsbBroad304_15588
OAB25.26.27.28.A	I12	ccsbBroad304_03022
OAB25.26.27.28.A	I13	ccsbBroad304_08223
OAB25.26.27.28.A	I14	ccsbBroad304_01498
OAB25.26.27.28.A	I15	ccsbBroad304_07904
OAB25.26.27.28.A	I16	ccsbBroad304_00864
OAB25.26.27.28.A	I17	ccsbBroad304_06870
OAB25.26.27.28.A	I18	ccsbBroad304_05173
OAB25.26.27.28.A	I19	ccsbBroad304_08449
OAB25.26.27.28.A	I20	ccsbBroad304_05837
OAB25.26.27.28.A	I21	ccsbBroad304_10440
OAB25.26.27.28.A	I22	
OAB25.26.27.28.A	I23	ccsbBroad304_06122
