Assay_Plate_Barcode,Plate_Map_Name
BR00123522,control
BR00121425,JUMP-Target-2_compound_platemap
BR00123787,OAB41.OAC17.OAB78.79.A
BR00123786,OAB41.OAC17.OAB78.79.A
BR00123785,OAB41.OAC17.OAB78.79.A
BR00123791,OAB41.OAC17.OAB78.79.A
BR00123790,OAB41.OAC17.OAB78.79.A
BR00123509,OAA45.46.47.OAB46.A
BR00123510,OAA45.46.47.OAB46.A
BR00123511,OAA45.46.47.OAB46.A
BR00123789,OAA45.46.47.OAB46.A
BR00123788,OAA45.46.47.OAB46.A
BR00123512,OAA50.51.52.53.A
BR00123513,OAA50.51.52.53.A
BR00123514,OAA50.51.52.53.A
BR00123515,OAA50.51.52.53.A
BR00123516,OAA50.51.52.53.A
BR00123517,OAA54.55.56.57.A
BR00123518,OAA54.55.56.57.A
BR00123519,OAA54.55.56.57.A
BR00123520,OAA54.55.56.57.A
BR00123521,OAA54.55.56.57.A
