plate_map_name	well_position	broad_sample
OAA45.46.47.OAB46.A	A01	ccsbBroad304_04420
OAA45.46.47.OAB46.A	A02	ccsbBroad304_08924
OAA45.46.47.OAB46.A	A03	ccsbBroad304_01401
OAA45.46.47.OAB46.A	A04	ccsbBroad304_04429
OAA45.46.47.OAB46.A	A05	ccsbBroad304_11413
OAA45.46.47.OAB46.A	A06	
OAA45.46.47.OAB46.A	A07	ccsbBroad304_07234
OAA45.46.47.OAB46.A	A08	ccsbBroad304_01045
OAA45.46.47.OAB46.A	A09	ccsbBroad304_15840
OAA45.46.47.OAB46.A	A10	ccsbBroad304_00761
OAA45.46.47.OAB46.A	A11	ccsbBroad304_01080
OAA45.46.47.OAB46.A	A12	ccsbBroad304_04626
OAA45.46.47.OAB46.A	A13	ccsbBroad304_00341
OAA45.46.47.OAB46.A	A14	ccsbBroad304_08263
OAA45.46.47.OAB46.A	A15	ccsbBroad304_05346
OAA45.46.47.OAB46.A	A16	ccsbBroad304_01512
OAA45.46.47.OAB46.A	A17	ccsbBroad304_04016
OAA45.46.47.OAB46.A	A18	ccsbBroad304_04995
OAA45.46.47.OAB46.A	A19	ccsbBroad304_02312
OAA45.46.47.OAB46.A	A20	ccsbBroad304_05015
OAA45.46.47.OAB46.A	A21	ccsbBroad304_13625
OAA45.46.47.OAB46.A	A22	ccsbBroad304_01221
OAA45.46.47.OAB46.A	A23	ccsbBroad304_00790
OAA45.46.47.OAB46.A	A24	ccsbBroad304_02791
OAA45.46.47.OAB46.A	B01	
OAA45.46.47.OAB46.A	B02	ccsbBroad304_02160
OAA45.46.47.OAB46.A	B03	ccsbBroad304_06599
OAA45.46.47.OAB46.A	B04	ccsbBroad304_09566
OAA45.46.47.OAB46.A	B05	ccsbBroad304_01217
OAA45.46.47.OAB46.A	B06	ccsbBroad304_06287
OAA45.46.47.OAB46.A	B07	ccsbBroad304_11104
OAA45.46.47.OAB46.A	B08	ccsbBroad304_11996
OAA45.46.47.OAB46.A	B09	ccsbBroad304_05747
OAA45.46.47.OAB46.A	B10	ccsbBroad304_13506
OAA45.46.47.OAB46.A	B11	ccsbBroad304_03748
OAA45.46.47.OAB46.A	B12	ccsbBroad304_02652
OAA45.46.47.OAB46.A	B13	ccsbBroad304_00656
OAA45.46.47.OAB46.A	B14	ccsbBroad304_10220
OAA45.46.47.OAB46.A	B15	ccsbBroad304_06454
OAA45.46.47.OAB46.A	B16	ccsbBroad304_00530
OAA45.46.47.OAB46.A	B17	ccsbBroad304_00757
OAA45.46.47.OAB46.A	B18	ccsbBroad304_09660
OAA45.46.47.OAB46.A	B19	ccsbBroad304_02904
OAA45.46.47.OAB46.A	B20	ccsbBroad304_08075
OAA45.46.47.OAB46.A	B21	ccsbBroad304_11829
OAA45.46.47.OAB46.A	B22	ccsbBroad304_00243
OAA45.46.47.OAB46.A	B23	ccsbBroad304_01296
OAA45.46.47.OAB46.A	B24	ccsbBroad304_12798
OAA45.46.47.OAB46.A	C01	ccsbBroad304_11620
OAA45.46.47.OAB46.A	C02	ccsbBroad304_00267
OAA45.46.47.OAB46.A	C03	ccsbBroad304_01382
OAA45.46.47.OAB46.A	C04	ccsbBroad304_05650
OAA45.46.47.OAB46.A	C05	ccsbBroad304_05140
OAA45.46.47.OAB46.A	C06	ccsbBroad304_99985
OAA45.46.47.OAB46.A	C07	ccsbBroad304_11966
OAA45.46.47.OAB46.A	C08	ccsbBroad304_00034
OAA45.46.47.OAB46.A	C09	ccsbBroad304_10141
OAA45.46.47.OAB46.A	C10	ccsbBroad304_09530
OAA45.46.47.OAB46.A	C11	ccsbBroad304_08819
OAA45.46.47.OAB46.A	C12	ccsbBroad304_05735
OAA45.46.47.OAB46.A	C13	ccsbBroad304_04475
OAA45.46.47.OAB46.A	C14	ccsbBroad304_10695
OAA45.46.47.OAB46.A	C15	ccsbBroad304_04576
OAA45.46.47.OAB46.A	C16	ccsbBroad304_99994
