plate_map_name	well_position	broad_sample
OAB41.OAC17.OAB78.79.A	A01	ccsbBroad304_13635
OAB41.OAC17.OAB78.79.A	A02	ccsbBroad304_11304
OAB41.OAC17.OAB78.79.A	A03	ccsbBroad304_08447
OAB41.OAC17.OAB78.79.A	A04	ccsbBroad304_03004
OAB41.OAC17.OAB78.79.A	A05	
OAB41.OAC17.OAB78.79.A	A06	
OAB41.OAC17.OAB78.79.A	A07	ccsbBroad304_03178
OAB41.OAC17.OAB78.79.A	A08	ccsbBroad304_10345
OAB41.OAC17.OAB78.79.A	A09	ccsbBroad304_09557
OAB41.OAC17.OAB78.79.A	A10	
OAB41.OAC17.OAB78.79.A	A11	ccsbBroad304_06818
OAB41.OAC17.OAB78.79.A	A12	ccsbBroad304_06273
OAB41.OAC17.OAB78.79.A	A13	ccsbBroad304_00683
OAB41.OAC17.OAB78.79.A	A14	ccsbBroad304_10130
OAB41.OAC17.OAB78.79.A	A15	ccsbBroad304_15790
OAB41.OAC17.OAB78.79.A	A16	ccsbBroad304_00803
OAB41.OAC17.OAB78.79.A	A17	ccsbBroad304_15711
OAB41.OAC17.OAB78.79.A	A18	ccsbBroad304_12568
OAB41.OAC17.OAB78.79.A	A19	ccsbBroad304_05484
OAB41.OAC17.OAB78.79.A	A20	ccsbBroad304_11535
OAB41.OAC17.OAB78.79.A	A21	ccsbBroad304_12688
OAB41.OAC17.OAB78.79.A	A22	ccsbBroad304_10346
OAB41.OAC17.OAB78.79.A	A23	ccsbBroad304_13187
OAB41.OAC17.OAB78.79.A	A24	ccsbBroad304_01909
OAB41.OAC17.OAB78.79.A	B01	ccsbBroad304_00416
OAB41.OAC17.OAB78.79.A	B02	ccsbBroad304_10065
OAB41.OAC17.OAB78.79.A	B03	ccsbBroad304_13537
OAB41.OAC17.OAB78.79.A	B04	ccsbBroad304_05175
OAB41.OAC17.OAB78.79.A	B05	ccsbBroad304_10267
OAB41.OAC17.OAB78.79.A	B06	ccsbBroad304_07563
OAB41.OAC17.OAB78.79.A	B07	ccsbBroad304_03954
OAB41.OAC17.OAB78.79.A	B08	ccsbBroad304_13374
OAB41.OAC17.OAB78.79.A	B09	ccsbBroad304_99991
OAB41.OAC17.OAB78.79.A	B10	ccsbBroad304_15862
OAB41.OAC17.OAB78.79.A	B11	ccsbBroad304_12403
OAB41.OAC17.OAB78.79.A	B12	ccsbBroad304_15089
OAB41.OAC17.OAB78.79.A	B13	ccsbBroad304_07995
OAB41.OAC17.OAB78.79.A	B14	
OAB41.OAC17.OAB78.79.A	B15	ccsbBroad304_08139
OAB41.OAC17.OAB78.79.A	B16	ccsbBroad304_99985
OAB41.OAC17.OAB78.79.A	B17	ccsbBroad304_03595
OAB41.OAC17.OAB78.79.A	B18	ccsbBroad304_99991
OAB41.OAC17.OAB78.79.A	B19	ccsbBroad304_12746
OAB41.OAC17.OAB78.79.A	B20	ccsbBroad304_12100
OAB41.OAC17.OAB78.79.A	B21	ccsbBroad304_01462
OAB41.OAC17.OAB78.79.A	B22	ccsbBroad304_09221
OAB41.OAC17.OAB78.79.A	B23	ccsbBroad304_15876
OAB41.OAC17.OAB78.79.A	B24	ccsbBroad304_01489
OAB41.OAC17.OAB78.79.A	C01	ccsbBroad304_02734
OAB41.OAC17.OAB78.79.A	C02	ccsbBroad304_06868
OAB41.OAC17.OAB78.79.A	C03	ccsbBroad304_08250
OAB41.OAC17.OAB78.79.A	C04	ccsbBroad304_10246
OAB41.OAC17.OAB78.79.A	C05	ccsbBroad304_01769
OAB41.OAC17.OAB78.79.A	C06	ccsbBroad304_10364
OAB41.OAC17.OAB78.79.A	C07	ccsbBroad304_02443
OAB41.OAC17.OAB78.79.A	C08	ccsbBroad304_10329
OAB41.OAC17.OAB78.79.A	C09	ccsbBroad304_12839
OAB41.OAC17.OAB78.79.A	C10	ccsbBroad304_12715
OAB41.OAC17.OAB78.79.A	C11	ccsbBroad304_12989
OAB41.OAC17.OAB78.79.A	C12	ccsbBroad304_11160
OAB41.OAC17.OAB78.79.A	C13	
OAB41.OAC17.OAB78.79.A	C14	ccsbBroad304_05645
OAB41.OAC17.OAB78.79.A	C15	ccsbBroad304_16068
OAB41.OAC17.OAB78.79.A	C16	ccsbBroad304_05164
OAB41.OAC17.OAB78.79.A	C17	ccsbBroad304_13519
OAB41.OAC17.OAB78.79.A	C18	ccsbBroad304_13744
OAB41.OAC17.OAB78.79.A	C19	ccsbBroad304_03136
OAB41.OAC17.OAB78.79.A	C20	ccsbBroad304_06009
OAB41.OAC17.OAB78.79.A	C21	ccsbBroad304_11994
OAB41.OAC17.OAB78.79.A	C22	ccsbBroad304_05406
OAB41.OAC17.OAB78.79.A	C23	ccsbBroad304_07736
OAB41.OAC17.OAB78.79.A	C24	ccsbBroad304_04570
OAB41.OAC17.OAB78.79.A	D01	ccsbBroad304_10643
OAB41.OAC17.OAB78.79.A	D02	ccsbBroad304_11148
OAB41.OAC17.OAB78.79.A	D03	ccsbBroad304_12772
OAB41.OAC17.OAB78.79.A	D04	ccsbBroad304_06371
OAB41.OAC17.OAB78.79.A	D05	ccsbBroad304_04964
OAB41.OAC17.OAB78.79.A	D06	ccsbBroad304_16053
OAB41.OAC17.OAB78.79.A	D07	ccsbBroad304_11318
OAB41.OAC17.OAB78.79.A	D08	ccsbBroad304_05990
OAB41.OAC17.OAB78.79.A	D09	ccsbBroad304_01800
OAB41.OAC17.OAB78.79.A	D10	ccsbBroad304_08376
OAB41.OAC17.OAB78.79.A	D11	ccsbBroad304_13518
OAB41.OAC17.OAB78.79.A	D12	ccsbBroad304_04549
OAB41.OAC17.OAB78.79.A	D13	ccsbBroad304_02078
OAB41.OAC17.OAB78.79.A	D14	ccsbBroad304_16064
OAB41.OAC17.OAB78.79.A	D15	ccsbBroad304_15602
OAB41.OAC17.OAB78.79.A	D16	ccsbBroad304_07352
OAB41.OAC17.OAB78.79.A	D17	ccsbBroad304_07717
OAB41.OAC17.OAB78.79.A	D18	ccsbBroad304_14323
OAB41.OAC17.OAB78.79.A	D19	ccsbBroad304_07921
OAB41.OAC17.OAB78.79.A	D20	ccsbBroad304_07781
OAB41.OAC17.OAB78.79.A	D21	ccsbBroad304_12154
OAB41.OAC17.OAB78.79.A	D22	ccsbBroad304_07434
OAB41.OAC17.OAB78.79.A	D23	ccsbBroad304_13718
OAB41.OAC17.OAB78.79.A	D24	ccsbBroad304_12372
OAB41.OAC17.OAB78.79.A	E01	ccsbBroad304_01771
OAB41.OAC17.OAB78.79.A	E02	ccsbBroad304_10344
OAB41.OAC17.OAB78.79.A	E03	ccsbBroad304_08019
OAB41.OAC17.OAB78.79.A	E04	ccsbBroad304_13669
OAB41.OAC17.OAB78.79.A	E05	ccsbBroad304_99991
OAB41.OAC17.OAB78.79.A	E06	ccsbBroad304_99985
OAB41.OAC17.OAB78.79.A	E07	ccsbBroad304_15234
OAB41.OAC17.OAB78.79.A	E08	ccsbBroad304_10664
OAB41.OAC17.OAB78.79.A	E09	ccsbBroad304_01287
OAB41.OAC17.OAB78.79.A	E10	ccsbBroad304_13775
OAB41.OAC17.OAB78.79.A	E11	ccsbBroad304_11619
OAB41.OAC17.OAB78.79.A	E12	ccsbBroad304_03870
OAB41.OAC17.OAB78.79.A	E13	ccsbBroad304_07865
OAB41.OAC17.OAB78.79.A	E14	ccsbBroad304_15985
OAB41.OAC17.OAB78.79.A	E15	ccsbBroad304_03014
OAB41.OAC17.OAB78.79.A	E16	ccsbBroad304_11559
OAB41.OAC17.OAB78.79.A	E17	ccsbBroad304_04785
OAB41.OAC17.OAB78.79.A	E18	ccsbBroad304_10334
OAB41.OAC17.OAB78.79.A	E19	ccsbBroad304_09707
OAB41.OAC17.OAB78.79.A	E20	ccsbBroad304_06869
OAB41.OAC17.OAB78.79.A	E21	ccsbBroad304_09284
OAB41.OAC17.OAB78.79.A	E22	ccsbBroad304_12001
OAB41.OAC17.OAB78.79.A	E23	ccsbBroad304_01037
OAB41.OAC17.OAB78.79.A	E24	ccsbBroad304_04839
OAB41.OAC17.OAB78.79.A	F01	ccsbBroad304_12335
OAB41.OAC17.OAB78.79.A	F02	ccsbBroad304_01689
OAB41.OAC17.OAB78.79.A	F03	ccsbBroad304_13139
OAB41.OAC17.OAB78.79.A	F04	ccsbBroad304_11684
OAB41.OAC17.OAB78.79.A	F05	
OAB41.OAC17.OAB78.79.A	F06	ccsbBroad304_03948
OAB41.OAC17.OAB78.79.A	F07	ccsbBroad304_12234
OAB41.OAC17.OAB78.79.A	F08	ccsbBroad304_02441
OAB41.OAC17.OAB78.79.A	F09	ccsbBroad304_13713
OAB41.OAC17.OAB78.79.A	F10	ccsbBroad304_08730
OAB41.OAC17.OAB78.79.A	F11	ccsbBroad304_03402
OAB41.OAC17.OAB78.79.A	F12	ccsbBroad304_02389
OAB41.OAC17.OAB78.79.A	F13	ccsbBroad304_12405
OAB41.OAC17.OAB78.79.A	F14	ccsbBroad304_08334
OAB41.OAC17.OAB78.79.A	F15	ccsbBroad304_12412
OAB41.OAC17.OAB78.79.A	F16	ccsbBroad304_12312
OAB41.OAC17.OAB78.79.A	F17	ccsbBroad304_99994
OAB41.OAC17.OAB78.79.A	F18	ccsbBroad304_08930
OAB41.OAC17.OAB78.79.A	F19	BAD CONSTRUCT
OAB41.OAC17.OAB78.79.A	F20	ccsbBroad304_01367
OAB41.OAC17.OAB78.79.A	F21	ccsbBroad304_08773
OAB41.OAC17.OAB78.79.A	F22	ccsbBroad304_09981
OAB41.OAC17.OAB78.79.A	F23	ccsbBroad304_11156
OAB41.OAC17.OAB78.79.A	F24	ccsbBroad304_03559
OAB41.OAC17.OAB78.79.A	G01	ccsbBroad304_14309
OAB41.OAC17.OAB78.79.A	G02	ccsbBroad304_13673
OAB41.OAC17.OAB78.79.A	G03	ccsbBroad304_02250
OAB41.OAC17.OAB78.79.A	G04	ccsbBroad304_09361
OAB41.OAC17.OAB78.79.A	G05	ccsbBroad304_01180
OAB41.OAC17.OAB78.79.A	G06	ccsbBroad304_02495
OAB41.OAC17.OAB78.79.A	G07	ccsbBroad304_02349
OAB41.OAC17.OAB78.79.A	G08	ccsbBroad304_00228
OAB41.OAC17.OAB78.79.A	G09	ccsbBroad304_11540
OAB41.OAC17.OAB78.79.A	G10	ccsbBroad304_13858
OAB41.OAC17.OAB78.79.A	G11	ccsbBroad304_01345
OAB41.OAC17.OAB78.79.A	G12	ccsbBroad304_07333
OAB41.OAC17.OAB78.79.A	G13	ccsbBroad304_03099
OAB41.OAC17.OAB78.79.A	G14	ccsbBroad304_04207
OAB41.OAC17.OAB78.79.A	G15	ccsbBroad304_02635
OAB41.OAC17.OAB78.79.A	G16	ccsbBroad304_13463
OAB41.OAC17.OAB78.79.A	G17	ccsbBroad304_03233
OAB41.OAC17.OAB78.79.A	G18	ccsbBroad304_10335
OAB41.OAC17.OAB78.79.A	G19	ccsbBroad304_02481
OAB41.OAC17.OAB78.79.A	G20	ccsbBroad304_12620
OAB41.OAC17.OAB78.79.A	G21	ccsbBroad304_99988
OAB41.OAC17.OAB78.79.A	G22	ccsbBroad304_09726
OAB41.OAC17.OAB78.79.A	G23	ccsbBroad304_04947
OAB41.OAC17.OAB78.79.A	G24	ccsbBroad304_04866
OAB41.OAC17.OAB78.79.A	H01	BAD CONSTRUCT
OAB41.OAC17.OAB78.79.A	H02	ccsbBroad304_10878
OAB41.OAC17.OAB78.79.A	H03	BAD CONSTRUCT
OAB41.OAC17.OAB78.79.A	H04	ccsbBroad304_13835
OAB41.OAC17.OAB78.79.A	H05	ccsbBroad304_13862
OAB41.OAC17.OAB78.79.A	H06	ccsbBroad304_04029
OAB41.OAC17.OAB78.79.A	H07	ccsbBroad304_06600
OAB41.OAC17.OAB78.79.A	H08	ccsbBroad304_14545
OAB41.OAC17.OAB78.79.A	H09	ccsbBroad304_00354
OAB41.OAC17.OAB78.79.A	H10	ccsbBroad304_06879
OAB41.OAC17.OAB78.79.A	H11	ccsbBroad304_12250
OAB41.OAC17.OAB78.79.A	H12	ccsbBroad304_05356
OAB41.OAC17.OAB78.79.A	H13	ccsbBroad304_13104
OAB41.OAC17.OAB78.79.A	H14	ccsbBroad304_06389
OAB41.OAC17.OAB78.79.A	H15	ccsbBroad304_13628
OAB41.OAC17.OAB78.79.A	H16	ccsbBroad304_08348
OAB41.OAC17.OAB78.79.A	H17	ccsbBroad304_12862
OAB41.OAC17.OAB78.79.A	H18	ccsbBroad304_07555
OAB41.OAC17.OAB78.79.A	H19	ccsbBroad304_12170
OAB41.OAC17.OAB78.79.A	H20	ccsbBroad304_13433
OAB41.OAC17.OAB78.79.A	H21	ccsbBroad304_00168
OAB41.OAC17.OAB78.79.A	H22	ccsbBroad304_08735
OAB41.OAC17.OAB78.79.A	H23	ccsbBroad304_04268
OAB41.OAC17.OAB78.79.A	H24	ccsbBroad304_06500
OAB41.OAC17.OAB78.79.A	I01	ccsbBroad304_10853
OAB41.OAC17.OAB78.79.A	I02	ccsbBroad304_04887
OAB41.OAC17.OAB78.79.A	I03	ccsbBroad304_06701
OAB41.OAC17.OAB78.79.A	I04	ccsbBroad304_15918
OAB41.OAC17.OAB78.79.A	I05	ccsbBroad304_10745
OAB41.OAC17.OAB78.79.A	I06	ccsbBroad304_10568
OAB41.OAC17.OAB78.79.A	I07	ccsbBroad304_16093
OAB41.OAC17.OAB78.79.A	I08	ccsbBroad304_10378
OAB41.OAC17.OAB78.79.A	I09	ccsbBroad304_03894
OAB41.OAC17.OAB78.79.A	I10	ccsbBroad304_99994
OAB41.OAC17.OAB78.79.A	I11	ccsbBroad304_07299
OAB41.OAC17.OAB78.79.A	I12	ccsbBroad304_10536
OAB41.OAC17.OAB78.79.A	I13	ccsbBroad304_06463
OAB41.OAC17.OAB78.79.A	I14	ccsbBroad304_12711
OAB41.OAC17.OAB78.79.A	I15	ccsbBroad304_01722
OAB41.OAC17.OAB78.79.A	I16	ccsbBroad304_11093
OAB41.OAC17.OAB78.79.A	I17	ccsbBroad304_09206
