plate_map_name	well_position	broad_sample
OAA97.98.99.XX.A	A01	ccsbBroad304_01609
OAA97.98.99.XX.A	A02	ccsbBroad304_07897
OAA97.98.99.XX.A	A03	ccsbBroad304_00455
OAA97.98.99.XX.A	A04	ccsbBroad304_08072
OAA97.98.99.XX.A	A05	ccsbBroad304_00679
OAA97.98.99.XX.A	A06	ccsbBroad304_01960
OAA97.98.99.XX.A	A07	ccsbBroad304_10954
OAA97.98.99.XX.A	A08	ccsbBroad304_10985
OAA97.98.99.XX.A	A09	ccsbBroad304_07962
OAA97.98.99.XX.A	A10	ccsbBroad304_10966
OAA97.98.99.XX.A	A11	ccsbBroad304_13231
OAA97.98.99.XX.A	A12	ccsbBroad304_00885
OAA97.98.99.XX.A	A13	ccsbBroad304_06779
OAA97.98.99.XX.A	A14	ccsbBroad304_03525
OAA97.98.99.XX.A	A15	ccsbBroad304_15386
OAA97.98.99.XX.A	A16	
OAA97.98.99.XX.A	A17	ccsbBroad304_12183
OAA97.98.99.XX.A	A18	ccsbBroad304_02259
OAA97.98.99.XX.A	A19	ccsbBroad304_04462
OAA97.98.99.XX.A	A20	ccsbBroad304_03096
OAA97.98.99.XX.A	A21	ccsbBroad304_00408
OAA97.98.99.XX.A	A22	ccsbBroad304_11626
OAA97.98.99.XX.A	A23	ccsbBroad304_00920
OAA97.98.99.XX.A	A24	ccsbBroad304_05278
OAA97.98.99.XX.A	B01	ccsbBroad304_13504
OAA97.98.99.XX.A	B02	
OAA97.98.99.XX.A	B03	ccsbBroad304_10892
OAA97.98.99.XX.A	B04	
OAA97.98.99.XX.A	B05	ccsbBroad304_06819
OAA97.98.99.XX.A	B06	
OAA97.98.99.XX.A	B07	ccsbBroad304_05977
OAA97.98.99.XX.A	B08	
OAA97.98.99.XX.A	B09	ccsbBroad304_10422
OAA97.98.99.XX.A	B10	
OAA97.98.99.XX.A	B11	ccsbBroad304_02741
OAA97.98.99.XX.A	B12	
OAA97.98.99.XX.A	B13	ccsbBroad304_10743
OAA97.98.99.XX.A	B14	
OAA97.98.99.XX.A	B15	ccsbBroad304_04665
OAA97.98.99.XX.A	B16	
OAA97.98.99.XX.A	B17	ccsbBroad304_04189
OAA97.98.99.XX.A	B18	
OAA97.98.99.XX.A	B19	ccsbBroad304_06405
OAA97.98.99.XX.A	B20	
