Assay_Plate_Barcode,Plate_Map_Name
BR00123946,control
BR00121430,JUMP-Target-2_compound_platemap
BR00123947,OAA49.59.79.80.A
BR00123948,OAA49.59.79.80.A
BR00123949,OAA49.59.79.80.A
BR00123950,OAA49.59.79.80.A
BR00123951,OAA49.59.79.80.A
BR00123952,OAA63.64.65.66.A
BR00123956,OAA63.64.65.66.A
BR00123955,OAA63.64.65.66.A
BR00123954,OAA63.64.65.66.A
BR00123953,OAA63.64.65.66.A
BR00123961,OAA67.68.69.70.A
BR00123960,OAA67.68.69.70.A
BR00123959,OAA67.68.69.70.A
BR00123958,OAA67.68.69.70.A
BR00123957,OAA67.68.69.70.A
BR00123966,OAA71.72.73.74.A
BR00123965,OAA71.72.73.74.A
BR00123964,OAA71.72.73.74.A
BR00123963,OAA71.72.73.74.A
BR00123962,OAA71.72.73.74.A
