plate_map_name	well_position	broad_sample
OAA71.72.73.74.A	A01	ccsbBroad304_06849
OAA71.72.73.74.A	A02	ccsbBroad304_10303
OAA71.72.73.74.A	A03	ccsbBroad304_99985
OAA71.72.73.74.A	A04	ccsbBroad304_05562
OAA71.72.73.74.A	A05	ccsbBroad304_03619
OAA71.72.73.74.A	A06	ccsbBroad304_06923
OAA71.72.73.74.A	A07	ccsbBroad304_06834
OAA71.72.73.74.A	A08	ccsbBroad304_10305
OAA71.72.73.74.A	A09	ccsbBroad304_13553
OAA71.72.73.74.A	A10	ccsbBroad304_09998
OAA71.72.73.74.A	A11	ccsbBroad304_06509
OAA71.72.73.74.A	A12	ccsbBroad304_02806
OAA71.72.73.74.A	A13	ccsbBroad304_08703
OAA71.72.73.74.A	A14	ccsbBroad304_15568
OAA71.72.73.74.A	A15	ccsbBroad304_05854
OAA71.72.73.74.A	A16	ccsbBroad304_10574
OAA71.72.73.74.A	A17	ccsbBroad304_05762
OAA71.72.73.74.A	A18	ccsbBroad304_02867
OAA71.72.73.74.A	A19	ccsbBroad304_03028
OAA71.72.73.74.A	A20	ccsbBroad304_08889
OAA71.72.73.74.A	A21	ccsbBroad304_03674
OAA71.72.73.74.A	A22	ccsbBroad304_13353
OAA71.72.73.74.A	A23	ccsbBroad304_00921
OAA71.72.73.74.A	A24	ccsbBroad304_13517
OAA71.72.73.74.A	B01	ccsbBroad304_00163
OAA71.72.73.74.A	B02	ccsbBroad304_13514
OAA71.72.73.74.A	B03	ccsbBroad304_03577
OAA71.72.73.74.A	B04	ccsbBroad304_01053
OAA71.72.73.74.A	B05	ccsbBroad304_05010
OAA71.72.73.74.A	B06	ccsbBroad304_15753
OAA71.72.73.74.A	B07	ccsbBroad304_02854
OAA71.72.73.74.A	B08	ccsbBroad304_08949
OAA71.72.73.74.A	B09	ccsbBroad304_02692
OAA71.72.73.74.A	B10	ccsbBroad304_01044
OAA71.72.73.74.A	B11	ccsbBroad304_07027
OAA71.72.73.74.A	B12	ccsbBroad304_02159
OAA71.72.73.74.A	B13	ccsbBroad304_11982
OAA71.72.73.74.A	B14	ccsbBroad304_02218
OAA71.72.73.74.A	B15	ccsbBroad304_09228
OAA71.72.73.74.A	B16	ccsbBroad304_07163
OAA71.72.73.74.A	B17	ccsbBroad304_04087
OAA71.72.73.74.A	B18	ccsbBroad304_01154
OAA71.72.73.74.A	B19	ccsbBroad304_15951
OAA71.72.73.74.A	B20	ccsbBroad304_10783
OAA71.72.73.74.A	B21	ccsbBroad304_13249
OAA71.72.73.74.A	B22	ccsbBroad304_06383
OAA71.72.73.74.A	B23	ccsbBroad304_15932
OAA71.72.73.74.A	B24	
OAA71.72.73.74.A	C01	ccsbBroad304_99988
OAA71.72.73.74.A	C02	ccsbBroad304_00527
OAA71.72.73.74.A	C03	ccsbBroad304_04040
OAA71.72.73.74.A	C04	ccsbBroad304_05654
OAA71.72.73.74.A	C05	ccsbBroad304_12561
OAA71.72.73.74.A	C06	ccsbBroad304_16164
OAA71.72.73.74.A	C07	ccsbBroad304_13070
OAA71.72.73.74.A	C08	ccsbBroad304_06874
OAA71.72.73.74.A	C09	ccsbBroad304_07191
OAA71.72.73.74.A	C10	ccsbBroad304_11125
OAA71.72.73.74.A	C11	ccsbBroad304_13951
OAA71.72.73.74.A	C12	ccsbBroad304_02198
OAA71.72.73.74.A	C13	ccsbBroad304_09485
OAA71.72.73.74.A	C14	ccsbBroad304_05536
OAA71.72.73.74.A	C15	ccsbBroad304_07928
OAA71.72.73.74.A	C16	ccsbBroad304_13247
OAA71.72.73.74.A	C17	ccsbBroad304_03890
OAA71.72.73.74.A	C18	ccsbBroad304_10376
OAA71.72.73.74.A	C19	ccsbBroad304_09465
OAA71.72.73.74.A	C20	ccsbBroad304_10565
OAA71.72.73.74.A	C21	ccsbBroad304_00792
OAA71.72.73.74.A	C22	
OAA71.72.73.74.A	C23	ccsbBroad304_06064
OAA71.72.73.74.A	C24	ccsbBroad304_13229
OAA71.72.73.74.A	D01	ccsbBroad304_02853
OAA71.72.73.74.A	D02	ccsbBroad304_11725
OAA71.72.73.74.A	D03	ccsbBroad304_03965
OAA71.72.73.74.A	D04	ccsbBroad304_15942
OAA71.72.73.74.A	D05	ccsbBroad304_15558
OAA71.72.73.74.A	D06	ccsbBroad304_10084
OAA71.72.73.74.A	D07	ccsbBroad304_00606
OAA71.72.73.74.A	D08	ccsbBroad304_07361
OAA71.72.73.74.A	D09	ccsbBroad304_08831
OAA71.72.73.74.A	D10	ccsbBroad304_15684
OAA71.72.73.74.A	D11	ccsbBroad304_06962
OAA71.72.73.74.A	D12	ccsbBroad304_06357
OAA71.72.73.74.A	D13	ccsbBroad304_15223
OAA71.72.73.74.A	D14	ccsbBroad304_08142
OAA71.72.73.74.A	D15	ccsbBroad304_11305
OAA71.72.73.74.A	D16	ccsbBroad304_99994
OAA71.72.73.74.A	D17	ccsbBroad304_02720
OAA71.72.73.74.A	D18	ccsbBroad304_01581
OAA71.72.73.74.A	D19	ccsbBroad304_08747
OAA71.72.73.74.A	D20	ccsbBroad304_11262
OAA71.72.73.74.A	D21	ccsbBroad304_99985
OAA71.72.73.74.A	D22	ccsbBroad304_15513
OAA71.72.73.74.A	D23	ccsbBroad304_00399
OAA71.72.73.74.A	D24	ccsbBroad304_05700
OAA71.72.73.74.A	E01	ccsbBroad304_01682
OAA71.72.73.74.A	E02	
OAA71.72.73.74.A	E03	ccsbBroad304_03335
OAA71.72.73.74.A	E04	ccsbBroad304_99994
OAA71.72.73.74.A	E05	ccsbBroad304_10439
OAA71.72.73.74.A	E06	ccsbBroad304_11007
OAA71.72.73.74.A	E07	ccsbBroad304_09266
OAA71.72.73.74.A	E08	ccsbBroad304_02535
OAA71.72.73.74.A	E09	ccsbBroad304_14062
OAA71.72.73.74.A	E10	ccsbBroad304_11569
OAA71.72.73.74.A	E11	ccsbBroad304_09494
OAA71.72.73.74.A	E12	ccsbBroad304_13898
OAA71.72.73.74.A	E13	ccsbBroad304_00868
OAA71.72.73.74.A	E14	ccsbBroad304_06918
OAA71.72.73.74.A	E15	ccsbBroad304_04356
