plate_map_name	well_position	broad_sample
OAC01.02.03.04.A	A01	ccsbBroad304_10093
OAC01.02.03.04.A	A02	ccsbBroad304_04071
OAC01.02.03.04.A	A03	ccsbBroad304_04230
OAC01.02.03.04.A	A04	ccsbBroad304_15046
OAC01.02.03.04.A	A05	ccsbBroad304_05050
OAC01.02.03.04.A	A06	ccsbBroad304_05399
OAC01.02.03.04.A	A07	ccsbBroad304_10170
OAC01.02.03.04.A	A08	ccsbBroad304_05668
OAC01.02.03.04.A	A09	ccsbBroad304_09130
OAC01.02.03.04.A	A10	ccsbBroad304_09964
OAC01.02.03.04.A	A11	ccsbBroad304_05222
OAC01.02.03.04.A	A12	ccsbBroad304_09366
OAC01.02.03.04.A	A13	ccsbBroad304_09565
OAC01.02.03.04.A	A14	ccsbBroad304_06823
OAC01.02.03.04.A	A15	ccsbBroad304_09063
OAC01.02.03.04.A	A16	ccsbBroad304_05611
OAC01.02.03.04.A	A17	ccsbBroad304_12029
OAC01.02.03.04.A	A18	ccsbBroad304_08006
OAC01.02.03.04.A	A19	ccsbBroad304_09947
OAC01.02.03.04.A	A20	ccsbBroad304_08722
OAC01.02.03.04.A	A21	BAD CONSTRUCT
OAC01.02.03.04.A	A22	ccsbBroad304_12493
OAC01.02.03.04.A	A23	ccsbBroad304_99997
OAC01.02.03.04.A	A24	ccsbBroad304_99997
OAC01.02.03.04.A	B01	ccsbBroad304_03768
OAC01.02.03.04.A	B02	BAD CONSTRUCT
OAC01.02.03.04.A	B03	ccsbBroad304_09977
OAC01.02.03.04.A	B04	ccsbBroad304_02317
OAC01.02.03.04.A	B05	ccsbBroad304_10136
OAC01.02.03.04.A	B06	ccsbBroad304_00931
OAC01.02.03.04.A	B07	ccsbBroad304_06966
OAC01.02.03.04.A	B08	ccsbBroad304_05031
OAC01.02.03.04.A	B09	ccsbBroad304_13702
OAC01.02.03.04.A	B10	ccsbBroad304_06854
OAC01.02.03.04.A	B11	ccsbBroad304_05832
OAC01.02.03.04.A	B12	ccsbBroad304_01598
OAC01.02.03.04.A	B13	ccsbBroad304_13283
OAC01.02.03.04.A	B14	ccsbBroad304_04351
OAC01.02.03.04.A	B15	ccsbBroad304_05233
OAC01.02.03.04.A	B16	ccsbBroad304_13631
OAC01.02.03.04.A	B17	ccsbBroad304_05111
OAC01.02.03.04.A	B18	ccsbBroad304_06582
OAC01.02.03.04.A	B19	ccsbBroad304_04582
OAC01.02.03.04.A	B20	ccsbBroad304_09594
OAC01.02.03.04.A	B21	ccsbBroad304_07514
OAC01.02.03.04.A	B22	ccsbBroad304_13417
OAC01.02.03.04.A	B23	ccsbBroad304_99997
OAC01.02.03.04.A	B24	ccsbBroad304_99997
OAC01.02.03.04.A	C01	ccsbBroad304_05568
OAC01.02.03.04.A	C02	ccsbBroad304_15047
OAC01.02.03.04.A	C03	ccsbBroad304_04490
OAC01.02.03.04.A	C04	ccsbBroad304_04180
OAC01.02.03.04.A	C05	ccsbBroad304_10663
OAC01.02.03.04.A	C06	ccsbBroad304_04742
OAC01.02.03.04.A	C07	ccsbBroad304_14882
OAC01.02.03.04.A	C08	ccsbBroad304_09062
OAC01.02.03.04.A	C09	ccsbBroad304_13888
OAC01.02.03.04.A	C10	ccsbBroad304_10132
OAC01.02.03.04.A	C11	ccsbBroad304_05607
OAC01.02.03.04.A	C12	ccsbBroad304_04441
OAC01.02.03.04.A	C13	ccsbBroad304_05362
OAC01.02.03.04.A	C14	ccsbBroad304_09466
OAC01.02.03.04.A	C15	ccsbBroad304_14481
OAC01.02.03.04.A	C16	ccsbBroad304_01963
OAC01.02.03.04.A	C17	
OAC01.02.03.04.A	C18	ccsbBroad304_09886
OAC01.02.03.04.A	C19	ccsbBroad304_07586
OAC01.02.03.04.A	C20	ccsbBroad304_14493
OAC01.02.03.04.A	C21	ccsbBroad304_04340
OAC01.02.03.04.A	C22	ccsbBroad304_08864
OAC01.02.03.04.A	C23	ccsbBroad304_05653
OAC01.02.03.04.A	C24	ccsbBroad304_09476
OAC01.02.03.04.A	D01	ccsbBroad304_09763
OAC01.02.03.04.A	D02	ccsbBroad304_12227
OAC01.02.03.04.A	D03	ccsbBroad304_03020
OAC01.02.03.04.A	D04	ccsbBroad304_02584
OAC01.02.03.04.A	D05	ccsbBroad304_10872
