plate_map_name	well_position	broad_sample
OAC18.OAB81.82.83.A	A01	ccsbBroad304_10937
OAC18.OAB81.82.83.A	A02	ccsbBroad304_11154
OAC18.OAB81.82.83.A	A03	ccsbBroad304_14347
OAC18.OAB81.82.83.A	A04	ccsbBroad304_00685
OAC18.OAB81.82.83.A	A05	ccsbBroad304_04774
OAC18.OAB81.82.83.A	A06	ccsbBroad304_08311
OAC18.OAB81.82.83.A	A07	ccsbBroad304_05096
OAC18.OAB81.82.83.A	A08	ccsbBroad304_16115
OAC18.OAB81.82.83.A	A09	ccsbBroad304_09080
OAC18.OAB81.82.83.A	A10	ccsbBroad304_05236
OAC18.OAB81.82.83.A	A11	ccsbBroad304_00860
OAC18.OAB81.82.83.A	A12	ccsbBroad304_05288
OAC18.OAB81.82.83.A	A13	ccsbBroad304_00658
OAC18.OAB81.82.83.A	A14	ccsbBroad304_04539
OAC18.OAB81.82.83.A	A15	ccsbBroad304_10300
OAC18.OAB81.82.83.A	A16	ccsbBroad304_01913
OAC18.OAB81.82.83.A	A17	ccsbBroad304_07009
OAC18.OAB81.82.83.A	A18	ccsbBroad304_10511
OAC18.OAB81.82.83.A	A19	ccsbBroad304_15764
OAC18.OAB81.82.83.A	A20	ccsbBroad304_08647
OAC18.OAB81.82.83.A	A21	ccsbBroad304_06135
OAC18.OAB81.82.83.A	A22	ccsbBroad304_10280
OAC18.OAB81.82.83.A	A23	ccsbBroad304_04190
OAC18.OAB81.82.83.A	A24	
OAC18.OAB81.82.83.A	B01	ccsbBroad304_13020
OAC18.OAB81.82.83.A	B02	ccsbBroad304_12652
OAC18.OAB81.82.83.A	B03	
OAC18.OAB81.82.83.A	B04	ccsbBroad304_15444
OAC18.OAB81.82.83.A	B05	ccsbBroad304_12082
OAC18.OAB81.82.83.A	B06	ccsbBroad304_01277
OAC18.OAB81.82.83.A	B07	ccsbBroad304_07762
OAC18.OAB81.82.83.A	B08	ccsbBroad304_04935
OAC18.OAB81.82.83.A	B09	ccsbBroad304_08297
OAC18.OAB81.82.83.A	B10	ccsbBroad304_00044
OAC18.OAB81.82.83.A	B11	ccsbBroad304_04631
OAC18.OAB81.82.83.A	B12	ccsbBroad304_04752
OAC18.OAB81.82.83.A	B13	ccsbBroad304_09899
OAC18.OAB81.82.83.A	B14	ccsbBroad304_07000
OAC18.OAB81.82.83.A	B15	ccsbBroad304_02338
OAC18.OAB81.82.83.A	B16	ccsbBroad304_01113
OAC18.OAB81.82.83.A	B17	ccsbBroad304_07559
OAC18.OAB81.82.83.A	B18	ccsbBroad304_03506
OAC18.OAB81.82.83.A	B19	ccsbBroad304_02162
OAC18.OAB81.82.83.A	B20	ccsbBroad304_09230
OAC18.OAB81.82.83.A	B21	ccsbBroad304_07042
OAC18.OAB81.82.83.A	B22	ccsbBroad304_11724
OAC18.OAB81.82.83.A	B23	ccsbBroad304_09736
OAC18.OAB81.82.83.A	B24	ccsbBroad304_05818
OAC18.OAB81.82.83.A	C01	ccsbBroad304_06726
OAC18.OAB81.82.83.A	C02	ccsbBroad304_05321
OAC18.OAB81.82.83.A	C03	ccsbBroad304_03777
OAC18.OAB81.82.83.A	C04	ccsbBroad304_13729
OAC18.OAB81.82.83.A	C05	ccsbBroad304_13597
OAC18.OAB81.82.83.A	C06	ccsbBroad304_04977
OAC18.OAB81.82.83.A	C07	ccsbBroad304_05974
OAC18.OAB81.82.83.A	C08	ccsbBroad304_00387
OAC18.OAB81.82.83.A	C09	ccsbBroad304_04994
OAC18.OAB81.82.83.A	C10	ccsbBroad304_14368
OAC18.OAB81.82.83.A	C11	ccsbBroad304_10437
OAC18.OAB81.82.83.A	C12	ccsbBroad304_04498
OAC18.OAB81.82.83.A	C13	ccsbBroad304_12416
OAC18.OAB81.82.83.A	C14	ccsbBroad304_04488
OAC18.OAB81.82.83.A	C15	ccsbBroad304_10667
OAC18.OAB81.82.83.A	C16	ccsbBroad304_02407
OAC18.OAB81.82.83.A	C17	ccsbBroad304_01410
OAC18.OAB81.82.83.A	C18	ccsbBroad304_16121
OAC18.OAB81.82.83.A	C19	ccsbBroad304_05026
OAC18.OAB81.82.83.A	C20	ccsbBroad304_12621
OAC18.OAB81.82.83.A	C21	ccsbBroad304_01147
OAC18.OAB81.82.83.A	C22	ccsbBroad304_05073
OAC18.OAB81.82.83.A	C23	ccsbBroad304_06022
OAC18.OAB81.82.83.A	C24	ccsbBroad304_11264
OAC18.OAB81.82.83.A	D01	ccsbBroad304_04548
OAC18.OAB81.82.83.A	D02	ccsbBroad304_02092
OAC18.OAB81.82.83.A	D03	ccsbBroad304_07878
OAC18.OAB81.82.83.A	D04	ccsbBroad304_07375
OAC18.OAB81.82.83.A	D05	ccsbBroad304_05530
OAC18.OAB81.82.83.A	D06	ccsbBroad304_09525
OAC18.OAB81.82.83.A	D07	ccsbBroad304_07952
OAC18.OAB81.82.83.A	D08	ccsbBroad304_07548
OAC18.OAB81.82.83.A	D09	ccsbBroad304_03012
OAC18.OAB81.82.83.A	D10	ccsbBroad304_14198
OAC18.OAB81.82.83.A	D11	ccsbBroad304_12351
OAC18.OAB81.82.83.A	D12	ccsbBroad304_13900
OAC18.OAB81.82.83.A	D13	ccsbBroad304_14464
OAC18.OAB81.82.83.A	D14	ccsbBroad304_12770
OAC18.OAB81.82.83.A	D15	ccsbBroad304_02876
OAC18.OAB81.82.83.A	D16	ccsbBroad304_05225
OAC18.OAB81.82.83.A	D17	ccsbBroad304_03762
OAC18.OAB81.82.83.A	D18	ccsbBroad304_14247
OAC18.OAB81.82.83.A	D19	ccsbBroad304_99988
OAC18.OAB81.82.83.A	D20	ccsbBroad304_99985
OAC18.OAB81.82.83.A	D21	ccsbBroad304_10679
OAC18.OAB81.82.83.A	D22	ccsbBroad304_06975
OAC18.OAB81.82.83.A	D23	ccsbBroad304_03850
OAC18.OAB81.82.83.A	D24	ccsbBroad304_15796
OAC18.OAB81.82.83.A	E01	ccsbBroad304_09338
OAC18.OAB81.82.83.A	E02	ccsbBroad304_11250
OAC18.OAB81.82.83.A	E03	ccsbBroad304_13488
OAC18.OAB81.82.83.A	E04	ccsbBroad304_05215
OAC18.OAB81.82.83.A	E05	ccsbBroad304_07794
OAC18.OAB81.82.83.A	E06	ccsbBroad304_11182
OAC18.OAB81.82.83.A	E07	ccsbBroad304_01283
OAC18.OAB81.82.83.A	E08	ccsbBroad304_08881
OAC18.OAB81.82.83.A	E09	ccsbBroad304_13127
OAC18.OAB81.82.83.A	E10	ccsbBroad304_04330
OAC18.OAB81.82.83.A	E11	ccsbBroad304_12331
OAC18.OAB81.82.83.A	E12	ccsbBroad304_13103
OAC18.OAB81.82.83.A	E13	ccsbBroad304_06231
OAC18.OAB81.82.83.A	E14	ccsbBroad304_09850
OAC18.OAB81.82.83.A	E15	ccsbBroad304_00675
OAC18.OAB81.82.83.A	E16	ccsbBroad304_11836
OAC18.OAB81.82.83.A	E17	ccsbBroad304_10607
OAC18.OAB81.82.83.A	E18	ccsbBroad304_05122
OAC18.OAB81.82.83.A	E19	ccsbBroad304_99994
OAC18.OAB81.82.83.A	E20	ccsbBroad304_99994
OAC18.OAB81.82.83.A	E21	ccsbBroad304_11324
OAC18.OAB81.82.83.A	E22	ccsbBroad304_04629
OAC18.OAB81.82.83.A	E23	ccsbBroad304_09580
OAC18.OAB81.82.83.A	E24	ccsbBroad304_07270
OAC18.OAB81.82.83.A	F01	ccsbBroad304_02823
OAC18.OAB81.82.83.A	F02	ccsbBroad304_99994
OAC18.OAB81.82.83.A	F03	ccsbBroad304_03216
OAC18.OAB81.82.83.A	F04	ccsbBroad304_01684
OAC18.OAB81.82.83.A	F05	ccsbBroad304_03326
