well_position	broad_sample	mmoles_per_liter	solvent
A01			DMSO
A02	BRD-K88510285-001-18-6	0.12346	DMSO
A03			DMSO
A04	BRD-K88510285-001-18-6	0.12346	DMSO
A05			DMSO
A06	BRD-K88510285-001-18-6	0.12346	DMSO
A07			DMSO
A08	BRD-K88510285-001-18-6	0.12346	DMSO
A09			DMSO
A10	BRD-K88510285-001-18-6	0.12346	DMSO
A11			DMSO
A12	BRD-K88510285-001-18-6	0.12346	DMSO
A13			DMSO
A14	BRD-K88510285-001-18-6	0.12346	DMSO
A15			DMSO
A16	BRD-K88510285-001-18-6	0.12346	DMSO
A17			DMSO
A18	BRD-K88510285-001-18-6	0.12346	DMSO
A19			DMSO
A20	BRD-K88510285-001-18-6	0.12346	DMSO
A21			DMSO
A22	BRD-K88510285-001-18-6	0.12346	DMSO
A23			DMSO
A24	BRD-K88510285-001-18-6	0.12346	DMSO
B01	BRD-K88510285-001-18-6	0.37037	DMSO
B02	BRD-K88510285-001-18-6	1.1111	DMSO
B03	BRD-K88510285-001-18-6	0.37037	DMSO
B04	BRD-K88510285-001-18-6	1.1111	DMSO
B05	BRD-K88510285-001-18-6	0.37037	DMSO
B06	BRD-K88510285-001-18-6	1.1111	DMSO
B07	BRD-K88510285-001-18-6	0.37037	DMSO
B08	BRD-K88510285-001-18-6	1.1111	DMSO
B09	BRD-K88510285-001-18-6	0.37037	DMSO
B10	BRD-K88510285-001-18-6	1.1111	DMSO
B11	BRD-K88510285-001-18-6	0.37037	DMSO
B12	BRD-K88510285-001-18-6	1.1111	DMSO
B13	BRD-K88510285-001-18-6	0.37037	DMSO
B14	BRD-K88510285-001-18-6	1.1111	DMSO
B15	BRD-K88510285-001-18-6	0.37037	DMSO
B16	BRD-K88510285-001-18-6	1.1111	DMSO
B17	BRD-K88510285-001-18-6	0.37037	DMSO
B18	BRD-K88510285-001-18-6	1.1111	DMSO
B19	BRD-K88510285-001-18-6	0.37037	DMSO
B20	BRD-K88510285-001-18-6	1.1111	DMSO
B21	BRD-K88510285-001-18-6	0.37037	DMSO
B22	BRD-K88510285-001-18-6	1.1111	DMSO
B23	BRD-K88510285-001-18-6	0.37037	DMSO
B24	BRD-K88510285-001-18-6	1.1111	DMSO
C01			DMSO
C02	BRD-K88510285-001-18-6	0.12346	DMSO
C03			DMSO
C04	BRD-K88510285-001-18-6	0.12346	DMSO
C05			DMSO
C06	BRD-K88510285-001-18-6	0.12346	DMSO
C07			DMSO
C08	BRD-K88510285-001-18-6	0.12346	DMSO
C09			DMSO
C10	BRD-K88510285-001-18-6	0.12346	DMSO
C11			DMSO
C12	BRD-K88510285-001-18-6	0.12346	DMSO
C13			DMSO
C14	BRD-K88510285-001-18-6	0.12346	DMSO
C15			DMSO
C16	BRD-K88510285-001-18-6	0.12346	DMSO
C17			DMSO
C18	BRD-K88510285-001-18-6	0.12346	DMSO
C19			DMSO
C20	BRD-K88510285-001-18-6	0.12346	DMSO
C21			DMSO
C22	BRD-K88510285-001-18-6	0.12346	DMSO
C23			DMSO
C24	BRD-K88510285-001-18-6	0.12346	DMSO
D01	BRD-K88510285-001-18-6	0.37037	DMSO
D02	BRD-K88510285-001-18-6	1.1111	DMSO
D03	BRD-K88510285-001-18-6	0.37037	DMSO
D04	BRD-K88510285-001-18-6	1.1111	DMSO
D05	BRD-K88510285-001-18-6	0.37037	DMSO
D06	BRD-K88510285-001-18-6	1.1111	DMSO
D07	BRD-K88510285-001-18-6	0.37037	DMSO
D08	BRD-K88510285-001-18-6	1.1111	DMSO
D09	BRD-K88510285-001-18-6	0.37037	DMSO
D10	BRD-K88510285-001-18-6	1.1111	DMSO
D11	BRD-K88510285-001-18-6	0.37037	DMSO
D12	BRD-K88510285-001-18-6	1.1111	DMSO
D13	BRD-K88510285-001-18-6	0.37037	DMSO
D14	BRD-K88510285-001-18-6	1.1111	DMSO
D15	BRD-K88510285-001-18-6	0.37037	DMSO
D16	BRD-K88510285-001-18-6	1.1111	DMSO
D17	BRD-K88510285-001-18-6	0.37037	DMSO
D18	BRD-K88510285-001-18-6	1.1111	DMSO
D19	BRD-K88510285-001-18-6	0.37037	DMSO
D20	BRD-K88510285-001-18-6	1.1111	DMSO
D21	BRD-K88510285-001-18-6	0.37037	DMSO
D22	BRD-K88510285-001-18-6	1.1111	DMSO
D23	BRD-K88510285-001-18-6	0.37037	DMSO
D24	BRD-K88510285-001-18-6	1.1111	DMSO
E01			DMSO
E02	BRD-K88510285-001-18-6	0.12346	DMSO
E03			DMSO
E04	BRD-K88510285-001-18-6	0.12346	DMSO
E05			DMSO
E06	BRD-K88510285-001-18-6	0.12346	DMSO
E07			DMSO
E08	BRD-K88510285-001-18-6	0.12346	DMSO
E09			DMSO
E10	BRD-K88510285-001-18-6	0.12346	DMSO
E11			DMSO
E12	BRD-K88510285-001-18-6	0.12346	DMSO
E13			DMSO
E14	BRD-K88510285-001-18-6	0.12346	DMSO
E15			DMSO
E16	BRD-K88510285-001-18-6	0.12346	DMSO
E17			DMSO
E18	BRD-K88510285-001-18-6	0.12346	DMSO
E19			DMSO
E20	BRD-K88510285-001-18-6	0.12346	DMSO
E21			DMSO
E22	BRD-K88510285-001-18-6	0.12346	DMSO
E23			DMSO
E24	BRD-K88510285-001-18-6	0.12346	DMSO
F01	BRD-K88510285-001-18-6	0.37037	DMSO
F02	BRD-K88510285-001-18-6	1.1111	DMSO
F03	BRD-K88510285-001-18-6	0.37037	DMSO
F04	BRD-K88510285-001-18-6	1.1111	DMSO
F05	BRD-K88510285-001-18-6	0.37037	DMSO
F06	BRD-K88510285-001-18-6	1.1111	DMSO
F07	BRD-K88510285-001-18-6	0.37037	DMSO
F08	BRD-K88510285-001-18-6	1.1111	DMSO
F09	BRD-K88510285-001-18-6	0.37037	DMSO
F10	BRD-K88510285-001-18-6	1.1111	DMSO
F11	BRD-K88510285-001-18-6	0.37037	DMSO
F12	BRD-K88510285-001-18-6	1.1111	DMSO
F13	BRD-K88510285-001-18-6	0.37037	DMSO
F14	BRD-K88510285-001-18-6	1.1111	DMSO
F15	BRD-K88510285-001-18-6	0.37037	DMSO
F16	BRD-K88510285-001-18-6	1.1111	DMSO
F17	BRD-K88510285-001-18-6	0.37037	DMSO
F18	BRD-K88510285-001-18-6	1.1111	DMSO
F19	BRD-K88510285-001-18-6	0.37037	DMSO
F20	BRD-K88510285-001-18-6	1.1111	DMSO
F21	BRD-K88510285-001-18-6	0.37037	DMSO
F22	BRD-K88510285-001-18-6	1.1111	DMSO
F23	BRD-K88510285-001-18-6	0.37037	DMSO
F24	BRD-K88510285-001-18-6	1.1111	DMSO
G01			DMSO
G02	BRD-K88510285-001-18-6	0.12346	DMSO
G03			DMSO
G04	BRD-K88510285-001-18-6	0.12346	DMSO
G05			DMSO
G06	BRD-K88510285-001-18-6	0.12346	DMSO
G07			DMSO
G08	BRD-K88510285-001-18-6	0.12346	DMSO
G09			DMSO
G10	BRD-K88510285-001-18-6	0.12346	DMSO
G11			DMSO
G12	BRD-K88510285-001-18-6	0.12346	DMSO
G13			DMSO
G14	BRD-K88510285-001-18-6	0.12346	DMSO
G15			DMSO
G16	BRD-K88510285-001-18-6	0.12346	DMSO
G17			DMSO
G18	BRD-K88510285-001-18-6	0.12346	DMSO
G19			DMSO
G20	BRD-K88510285-001-18-6	0.12346	DMSO
G21			DMSO
G22	BRD-K88510285-001-18-6	0.12346	DMSO
G23			DMSO
G24	BRD-K88510285-001-18-6	0.12346	DMSO
H01	BRD-K88510285-001-18-6	0.37037	DMSO
H02	BRD-K88510285-001-18-6	1.1111	DMSO
