plate_map_name	well_position	broad_sample
OAB44.OAA18.19.20.A	A01	ccsbBroad304_09807
OAB44.OAA18.19.20.A	A02	ccsbBroad304_05812
OAB44.OAA18.19.20.A	A03	ccsbBroad304_09841
OAB44.OAA18.19.20.A	A04	ccsbBroad304_08001
OAB44.OAA18.19.20.A	A05	ccsbBroad304_15514
OAB44.OAA18.19.20.A	A06	ccsbBroad304_09472
OAB44.OAA18.19.20.A	A07	ccsbBroad304_03572
OAB44.OAA18.19.20.A	A08	ccsbBroad304_00733
OAB44.OAA18.19.20.A	A09	ccsbBroad304_15390
OAB44.OAA18.19.20.A	A10	ccsbBroad304_06986
OAB44.OAA18.19.20.A	A11	ccsbBroad304_14314
OAB44.OAA18.19.20.A	A12	ccsbBroad304_06612
OAB44.OAA18.19.20.A	A13	ccsbBroad304_02447
OAB44.OAA18.19.20.A	A14	ccsbBroad304_07712
OAB44.OAA18.19.20.A	A15	ccsbBroad304_13373
OAB44.OAA18.19.20.A	A16	
OAB44.OAA18.19.20.A	A17	ccsbBroad304_08259
OAB44.OAA18.19.20.A	A18	ccsbBroad304_07975
OAB44.OAA18.19.20.A	A19	ccsbBroad304_07402
OAB44.OAA18.19.20.A	A20	ccsbBroad304_11444
OAB44.OAA18.19.20.A	A21	ccsbBroad304_09714
OAB44.OAA18.19.20.A	A22	ccsbBroad304_14116
OAB44.OAA18.19.20.A	A23	ccsbBroad304_16096
OAB44.OAA18.19.20.A	A24	ccsbBroad304_05767
OAB44.OAA18.19.20.A	B01	ccsbBroad304_02613
OAB44.OAA18.19.20.A	B02	ccsbBroad304_13013
OAB44.OAA18.19.20.A	B03	ccsbBroad304_99985
OAB44.OAA18.19.20.A	B04	ccsbBroad304_16001
OAB44.OAA18.19.20.A	B05	ccsbBroad304_15485
OAB44.OAA18.19.20.A	B06	ccsbBroad304_10916
OAB44.OAA18.19.20.A	B07	ccsbBroad304_03736
OAB44.OAA18.19.20.A	B08	ccsbBroad304_12732
OAB44.OAA18.19.20.A	B09	ccsbBroad304_04978
OAB44.OAA18.19.20.A	B10	ccsbBroad304_15530
OAB44.OAA18.19.20.A	B11	ccsbBroad304_00735
OAB44.OAA18.19.20.A	B12	ccsbBroad304_12264
OAB44.OAA18.19.20.A	B13	ccsbBroad304_00684
OAB44.OAA18.19.20.A	B14	ccsbBroad304_99985
OAB44.OAA18.19.20.A	B15	ccsbBroad304_99991
OAB44.OAA18.19.20.A	B16	ccsbBroad304_01672
OAB44.OAA18.19.20.A	B17	ccsbBroad304_00075
OAB44.OAA18.19.20.A	B18	ccsbBroad304_13058
OAB44.OAA18.19.20.A	B19	ccsbBroad304_06577
OAB44.OAA18.19.20.A	B20	ccsbBroad304_00910
OAB44.OAA18.19.20.A	B21	ccsbBroad304_05866
OAB44.OAA18.19.20.A	B22	ccsbBroad304_02664
OAB44.OAA18.19.20.A	B23	ccsbBroad304_04329
OAB44.OAA18.19.20.A	B24	ccsbBroad304_11935
OAB44.OAA18.19.20.A	C01	ccsbBroad304_05358
OAB44.OAA18.19.20.A	C02	ccsbBroad304_00442
OAB44.OAA18.19.20.A	C03	ccsbBroad304_09518
OAB44.OAA18.19.20.A	C04	ccsbBroad304_04178
OAB44.OAA18.19.20.A	C05	ccsbBroad304_11406
OAB44.OAA18.19.20.A	C06	ccsbBroad304_07197
OAB44.OAA18.19.20.A	C07	ccsbBroad304_07304
OAB44.OAA18.19.20.A	C08	ccsbBroad304_14082
OAB44.OAA18.19.20.A	C09	
OAB44.OAA18.19.20.A	C10	ccsbBroad304_06989
OAB44.OAA18.19.20.A	C11	ccsbBroad304_02411
OAB44.OAA18.19.20.A	C12	ccsbBroad304_14234
OAB44.OAA18.19.20.A	C13	ccsbBroad304_02547
OAB44.OAA18.19.20.A	C14	ccsbBroad304_06351
OAB44.OAA18.19.20.A	C15	ccsbBroad304_10927
OAB44.OAA18.19.20.A	C16	ccsbBroad304_05873
OAB44.OAA18.19.20.A	C17	ccsbBroad304_10216
OAB44.OAA18.19.20.A	C18	ccsbBroad304_02788
OAB44.OAA18.19.20.A	C19	ccsbBroad304_08400
OAB44.OAA18.19.20.A	C20	ccsbBroad304_03413
OAB44.OAA18.19.20.A	C21	ccsbBroad304_00687
OAB44.OAA18.19.20.A	C22	ccsbBroad304_99985
OAB44.OAA18.19.20.A	C23	ccsbBroad304_10825
OAB44.OAA18.19.20.A	C24	ccsbBroad304_09164
OAB44.OAA18.19.20.A	D01	ccsbBroad304_02469
OAB44.OAA18.19.20.A	D02	ccsbBroad304_08033
OAB44.OAA18.19.20.A	D03	ccsbBroad304_06543
OAB44.OAA18.19.20.A	D04	ccsbBroad304_06386
OAB44.OAA18.19.20.A	D05	ccsbBroad304_00883
OAB44.OAA18.19.20.A	D06	ccsbBroad304_12380
OAB44.OAA18.19.20.A	D07	ccsbBroad304_02059
OAB44.OAA18.19.20.A	D08	ccsbBroad304_05580
OAB44.OAA18.19.20.A	D09	ccsbBroad304_99994
OAB44.OAA18.19.20.A	D10	ccsbBroad304_13082
OAB44.OAA18.19.20.A	D11	ccsbBroad304_06574
OAB44.OAA18.19.20.A	D12	ccsbBroad304_03883
OAB44.OAA18.19.20.A	D13	ccsbBroad304_01972
OAB44.OAA18.19.20.A	D14	
OAB44.OAA18.19.20.A	D15	ccsbBroad304_07613
OAB44.OAA18.19.20.A	D16	ccsbBroad304_16063
OAB44.OAA18.19.20.A	D17	ccsbBroad304_05400
OAB44.OAA18.19.20.A	D18	ccsbBroad304_10912
OAB44.OAA18.19.20.A	D19	ccsbBroad304_00473
OAB44.OAA18.19.20.A	D20	ccsbBroad304_99991
OAB44.OAA18.19.20.A	D21	ccsbBroad304_14346
OAB44.OAA18.19.20.A	D22	ccsbBroad304_13791
OAB44.OAA18.19.20.A	D23	ccsbBroad304_13460
OAB44.OAA18.19.20.A	D24	ccsbBroad304_15893
OAB44.OAA18.19.20.A	E01	ccsbBroad304_09522
OAB44.OAA18.19.20.A	E02	ccsbBroad304_03943
OAB44.OAA18.19.20.A	E03	ccsbBroad304_00199
OAB44.OAA18.19.20.A	E04	ccsbBroad304_16013
OAB44.OAA18.19.20.A	E05	ccsbBroad304_02166
OAB44.OAA18.19.20.A	E06	ccsbBroad304_99988
OAB44.OAA18.19.20.A	E07	ccsbBroad304_02064
OAB44.OAA18.19.20.A	E08	ccsbBroad304_01266
OAB44.OAA18.19.20.A	E09	ccsbBroad304_12197
OAB44.OAA18.19.20.A	E10	ccsbBroad304_06704
OAB44.OAA18.19.20.A	E11	ccsbBroad304_11603
OAB44.OAA18.19.20.A	E12	ccsbBroad304_12518
OAB44.OAA18.19.20.A	E13	ccsbBroad304_08852
OAB44.OAA18.19.20.A	E14	ccsbBroad304_11978
OAB44.OAA18.19.20.A	E15	ccsbBroad304_03130
OAB44.OAA18.19.20.A	E16	ccsbBroad304_10465
OAB44.OAA18.19.20.A	E17	ccsbBroad304_10062
OAB44.OAA18.19.20.A	E18	ccsbBroad304_03396
OAB44.OAA18.19.20.A	E19	ccsbBroad304_11186
OAB44.OAA18.19.20.A	E20	ccsbBroad304_06947
OAB44.OAA18.19.20.A	E21	ccsbBroad304_02970
OAB44.OAA18.19.20.A	E22	ccsbBroad304_99994
OAB44.OAA18.19.20.A	E23	ccsbBroad304_13471
OAB44.OAA18.19.20.A	E24	ccsbBroad304_06476
OAB44.OAA18.19.20.A	F01	ccsbBroad304_06232
OAB44.OAA18.19.20.A	F02	ccsbBroad304_06127
OAB44.OAA18.19.20.A	F03	ccsbBroad304_00009
OAB44.OAA18.19.20.A	F04	ccsbBroad304_08551
OAB44.OAA18.19.20.A	F05	ccsbBroad304_08419
OAB44.OAA18.19.20.A	F06	ccsbBroad304_00279
OAB44.OAA18.19.20.A	F07	ccsbBroad304_08240
OAB44.OAA18.19.20.A	F08	ccsbBroad304_03549
OAB44.OAA18.19.20.A	F09	ccsbBroad304_05989
OAB44.OAA18.19.20.A	F10	ccsbBroad304_05795
OAB44.OAA18.19.20.A	F11	ccsbBroad304_07371
OAB44.OAA18.19.20.A	F12	ccsbBroad304_14133
OAB44.OAA18.19.20.A	F13	ccsbBroad304_07061
OAB44.OAA18.19.20.A	F14	ccsbBroad304_04795
OAB44.OAA18.19.20.A	F15	ccsbBroad304_10100
OAB44.OAA18.19.20.A	F16	ccsbBroad304_02508
OAB44.OAA18.19.20.A	F17	ccsbBroad304_03144
OAB44.OAA18.19.20.A	F18	ccsbBroad304_08118
OAB44.OAA18.19.20.A	F19	ccsbBroad304_10883
OAB44.OAA18.19.20.A	F20	ccsbBroad304_06518
OAB44.OAA18.19.20.A	F21	ccsbBroad304_15570
OAB44.OAA18.19.20.A	F22	ccsbBroad304_13333
OAB44.OAA18.19.20.A	F23	ccsbBroad304_09471
OAB44.OAA18.19.20.A	F24	ccsbBroad304_06203
OAB44.OAA18.19.20.A	G01	ccsbBroad304_99994
OAB44.OAA18.19.20.A	G02	ccsbBroad304_99991
OAB44.OAA18.19.20.A	G03	ccsbBroad304_02543
OAB44.OAA18.19.20.A	G04	ccsbBroad304_10421
OAB44.OAA18.19.20.A	G05	ccsbBroad304_09513
OAB44.OAA18.19.20.A	G06	ccsbBroad304_07687
OAB44.OAA18.19.20.A	G07	ccsbBroad304_16067
OAB44.OAA18.19.20.A	G08	ccsbBroad304_03838
OAB44.OAA18.19.20.A	G09	ccsbBroad304_09682
OAB44.OAA18.19.20.A	G10	ccsbBroad304_05330
OAB44.OAA18.19.20.A	G11	ccsbBroad304_14449
OAB44.OAA18.19.20.A	G12	ccsbBroad304_01710
OAB44.OAA18.19.20.A	G13	ccsbBroad304_10330
OAB44.OAA18.19.20.A	G14	ccsbBroad304_08294
OAB44.OAA18.19.20.A	G15	ccsbBroad304_11876
OAB44.OAA18.19.20.A	G16	ccsbBroad304_07492
OAB44.OAA18.19.20.A	G17	ccsbBroad304_99991
OAB44.OAA18.19.20.A	G18	ccsbBroad304_02069
OAB44.OAA18.19.20.A	G19	ccsbBroad304_09809
OAB44.OAA18.19.20.A	G20	ccsbBroad304_03189
OAB44.OAA18.19.20.A	G21	ccsbBroad304_11130
OAB44.OAA18.19.20.A	G22	ccsbBroad304_00412
OAB44.OAA18.19.20.A	G23	ccsbBroad304_04830
OAB44.OAA18.19.20.A	G24	ccsbBroad304_06306
OAB44.OAA18.19.20.A	H01	ccsbBroad304_00090
OAB44.OAA18.19.20.A	H02	ccsbBroad304_10025
OAB44.OAA18.19.20.A	H03	ccsbBroad304_02503
OAB44.OAA18.19.20.A	H04	ccsbBroad304_13550
OAB44.OAA18.19.20.A	H05	ccsbBroad304_05822
OAB44.OAA18.19.20.A	H06	ccsbBroad304_12727
OAB44.OAA18.19.20.A	H07	ccsbBroad304_11574
OAB44.OAA18.19.20.A	H08	ccsbBroad304_99994
OAB44.OAA18.19.20.A	H09	ccsbBroad304_99988
OAB44.OAA18.19.20.A	H10	ccsbBroad304_16006
OAB44.OAA18.19.20.A	H11	ccsbBroad304_07468
OAB44.OAA18.19.20.A	H12	ccsbBroad304_09937
OAB44.OAA18.19.20.A	H13	ccsbBroad304_06875
OAB44.OAA18.19.20.A	H14	ccsbBroad304_05825
OAB44.OAA18.19.20.A	H15	ccsbBroad304_02066
OAB44.OAA18.19.20.A	H16	ccsbBroad304_10279
OAB44.OAA18.19.20.A	H17	ccsbBroad304_00098
OAB44.OAA18.19.20.A	H18	
OAB44.OAA18.19.20.A	H19	ccsbBroad304_02946
OAB44.OAA18.19.20.A	H20	ccsbBroad304_13539
OAB44.OAA18.19.20.A	H21	ccsbBroad304_03188
OAB44.OAA18.19.20.A	H22	ccsbBroad304_02532
OAB44.OAA18.19.20.A	H23	
OAB44.OAA18.19.20.A	H24	ccsbBroad304_03377
OAB44.OAA18.19.20.A	I01	ccsbBroad304_05552
OAB44.OAA18.19.20.A	I02	ccsbBroad304_01321
OAB44.OAA18.19.20.A	I03	ccsbBroad304_07729
OAB44.OAA18.19.20.A	I04	ccsbBroad304_14563
OAB44.OAA18.19.20.A	I05	ccsbBroad304_07919
OAB44.OAA18.19.20.A	I06	ccsbBroad304_06912
OAB44.OAA18.19.20.A	I07	ccsbBroad304_09498
OAB44.OAA18.19.20.A	I08	ccsbBroad304_00590
OAB44.OAA18.19.20.A	I09	ccsbBroad304_07627
OAB44.OAA18.19.20.A	I10	ccsbBroad304_15161
OAB44.OAA18.19.20.A	I11	ccsbBroad304_04564
OAB44.OAA18.19.20.A	I12	ccsbBroad304_11556
OAB44.OAA18.19.20.A	I13	ccsbBroad304_09554
OAB44.OAA18.19.20.A	I14	ccsbBroad304_04883
OAB44.OAA18.19.20.A	I15	ccsbBroad304_14359
OAB44.OAA18.19.20.A	I16	ccsbBroad304_02826
OAB44.OAA18.19.20.A	I17	ccsbBroad304_12651
OAB44.OAA18.19.20.A	I18	ccsbBroad304_13074
OAB44.OAA18.19.20.A	I19	ccsbBroad304_08500
OAB44.OAA18.19.20.A	I20	ccsbBroad304_03370
OAB44.OAA18.19.20.A	I21	ccsbBroad304_10818
OAB44.OAA18.19.20.A	I22	ccsbBroad304_02016
OAB44.OAA18.19.20.A	I23	ccsbBroad304_03440
OAB44.OAA18.19.20.A	I24	ccsbBroad304_13960
OAB44.OAA18.19.20.A	J01	ccsbBroad304_05843
OAB44.OAA18.19.20.A	J02	ccsbBroad304_06254
OAB44.OAA18.19.20.A	J03	ccsbBroad304_08241
OAB44.OAA18.19.20.A	J04	ccsbBroad304_12656
OAB44.OAA18.19.20.A	J05	ccsbBroad304_11211
OAB44.OAA18.19.20.A	J06	ccsbBroad304_10627
OAB44.OAA18.19.20.A	J07	ccsbBroad304_05655
OAB44.OAA18.19.20.A	J08	ccsbBroad304_15569
OAB44.OAA18.19.20.A	J09	ccsbBroad304_00297
OAB44.OAA18.19.20.A	J10	ccsbBroad304_16150
OAB44.OAA18.19.20.A	J11	ccsbBroad304_03935
OAB44.OAA18.19.20.A	J12	ccsbBroad304_12182
OAB44.OAA18.19.20.A	J13	ccsbBroad304_12789
OAB44.OAA18.19.20.A	J14	ccsbBroad304_12598
OAB44.OAA18.19.20.A	J15	ccsbBroad304_07700
OAB44.OAA18.19.20.A	J16	ccsbBroad304_10070
OAB44.OAA18.19.20.A	J17	ccsbBroad304_08243
OAB44.OAA18.19.20.A	J18	ccsbBroad304_03588
OAB44.OAA18.19.20.A	J19	ccsbBroad304_10692
OAB44.OAA18.19.20.A	J20	ccsbBroad304_04134
OAB44.OAA18.19.20.A	J21	ccsbBroad304_10525
OAB44.OAA18.19.20.A	J22	ccsbBroad304_04531
OAB44.OAA18.19.20.A	J23	ccsbBroad304_03207
OAB44.OAA18.19.20.A	J24	ccsbBroad304_02942
OAB44.OAA18.19.20.A	K01	ccsbBroad304_04694
OAB44.OAA18.19.20.A	K02	ccsbBroad304_12851
OAB44.OAA18.19.20.A	K03	ccsbBroad304_13113
OAB44.OAA18.19.20.A	K04	ccsbBroad304_09630
OAB44.OAA18.19.20.A	K05	ccsbBroad304_12286
OAB44.OAA18.19.20.A	K06	ccsbBroad304_09346
OAB44.OAA18.19.20.A	K07	ccsbBroad304_99988
OAB44.OAA18.19.20.A	K08	ccsbBroad304_00867
OAB44.OAA18.19.20.A	K09	ccsbBroad304_12647
OAB44.OAA18.19.20.A	K10	ccsbBroad304_11646
OAB44.OAA18.19.20.A	K11	ccsbBroad304_06222
OAB44.OAA18.19.20.A	K12	ccsbBroad304_11427
OAB44.OAA18.19.20.A	K13	ccsbBroad304_12374
OAB44.OAA18.19.20.A	K14	ccsbBroad304_03635
OAB44.OAA18.19.20.A	K15	ccsbBroad304_04759
OAB44.OAA18.19.20.A	K16	ccsbBroad304_04246
OAB44.OAA18.19.20.A	K17	ccsbBroad304_12945
OAB44.OAA18.19.20.A	K18	ccsbBroad304_09824
OAB44.OAA18.19.20.A	K19	ccsbBroad304_08774
OAB44.OAA18.19.20.A	K20	ccsbBroad304_08307
OAB44.OAA18.19.20.A	K21	ccsbBroad304_05596
OAB44.OAA18.19.20.A	K22	ccsbBroad304_07285
OAB44.OAA18.19.20.A	K23	ccsbBroad304_09821
OAB44.OAA18.19.20.A	K24	ccsbBroad304_02732
OAB44.OAA18.19.20.A	L01	ccsbBroad304_04077
OAB44.OAA18.19.20.A	L02	ccsbBroad304_99988
OAB44.OAA18.19.20.A	L03	ccsbBroad304_08536
OAB44.OAA18.19.20.A	L04	ccsbBroad304_03301
OAB44.OAA18.19.20.A	L05	ccsbBroad304_14151
OAB44.OAA18.19.20.A	L06	ccsbBroad304_15441
OAB44.OAA18.19.20.A	L07	ccsbBroad304_04436
OAB44.OAA18.19.20.A	L08	ccsbBroad304_11370
OAB44.OAA18.19.20.A	L09	ccsbBroad304_13172
OAB44.OAA18.19.20.A	L10	ccsbBroad304_11826
OAB44.OAA18.19.20.A	L11	ccsbBroad304_09317
OAB44.OAA18.19.20.A	L12	ccsbBroad304_03606
OAB44.OAA18.19.20.A	L13	BAD CONSTRUCT
OAB44.OAA18.19.20.A	L14	ccsbBroad304_04552
OAB44.OAA18.19.20.A	L15	ccsbBroad304_08811
OAB44.OAA18.19.20.A	L16	ccsbBroad304_05451
OAB44.OAA18.19.20.A	L17	ccsbBroad304_07973
OAB44.OAA18.19.20.A	L18	ccsbBroad304_01781
OAB44.OAA18.19.20.A	L19	
