plate_map_name	well_position	broad_sample
OKA01.02.03.04.A	A01	
OKA01.02.03.04.A	A02	ccsbBroad304_15133
OKA01.02.03.04.A	A03	ccsbBroad304_14758
OKA01.02.03.04.A	A04	ccsbBroad304_14821
OKA01.02.03.04.A	A05	ccsbBroad304_14817
OKA01.02.03.04.A	A06	
OKA01.02.03.04.A	A07	ccsbBroad304_15270
OKA01.02.03.04.A	A08	ccsbBroad304_15039
OKA01.02.03.04.A	A09	ccsbBroad304_14757
OKA01.02.03.04.A	A10	ccsbBroad304_14933
OKA01.02.03.04.A	A11	ccsbBroad304_14553
OKA01.02.03.04.A	A12	ccsbBroad304_14805
OKA01.02.03.04.A	A13	ccsbBroad304_15214
OKA01.02.03.04.A	A14	ccsbBroad304_14908
OKA01.02.03.04.A	A15	ccsbBroad304_14743
OKA01.02.03.04.A	A16	
OKA01.02.03.04.A	A17	ccsbBroad304_14541
OKA01.02.03.04.A	A18	ccsbBroad304_15281
OKA01.02.03.04.A	A19	ccsbBroad304_14759
OKA01.02.03.04.A	A20	ccsbBroad304_99985
OKA01.02.03.04.A	A21	ccsbBroad304_99988
OKA01.02.03.04.A	A22	ccsbBroad304_15000
OKA01.02.03.04.A	A23	ccsbBroad304_15101
OKA01.02.03.04.A	A24	ccsbBroad304_14744
OKA01.02.03.04.A	B01	ccsbBroad304_15155
OKA01.02.03.04.A	B02	ccsbBroad304_15306
OKA01.02.03.04.A	B03	ccsbBroad304_15057
OKA01.02.03.04.A	B04	ccsbBroad304_15197
OKA01.02.03.04.A	B05	ccsbBroad304_14766
OKA01.02.03.04.A	B06	ccsbBroad304_14740
OKA01.02.03.04.A	B07	ccsbBroad304_14591
OKA01.02.03.04.A	B08	ccsbBroad304_14652
OKA01.02.03.04.A	B09	ccsbBroad304_15141
OKA01.02.03.04.A	B10	ccsbBroad304_15295
OKA01.02.03.04.A	B11	ccsbBroad304_15220
OKA01.02.03.04.A	B12	ccsbBroad304_14716
OKA01.02.03.04.A	B13	ccsbBroad304_14699
OKA01.02.03.04.A	B14	ccsbBroad304_14646
OKA01.02.03.04.A	B15	ccsbBroad304_14587
OKA01.02.03.04.A	B16	ccsbBroad304_14922
OKA01.02.03.04.A	B17	ccsbBroad304_99988
OKA01.02.03.04.A	B18	ccsbBroad304_14907
OKA01.02.03.04.A	B19	ccsbBroad304_15061
OKA01.02.03.04.A	B20	ccsbBroad304_14586
OKA01.02.03.04.A	B21	
OKA01.02.03.04.A	B22	ccsbBroad304_15074
OKA01.02.03.04.A	B23	ccsbBroad304_14931
OKA01.02.03.04.A	B24	ccsbBroad304_15213
OKA01.02.03.04.A	C01	ccsbBroad304_14814
OKA01.02.03.04.A	C02	ccsbBroad304_15245
OKA01.02.03.04.A	C03	ccsbBroad304_14609
