broad_sample	Name	Vector	Transcript	Symbol	NCBI Gene ID	Taxon ID	Gene Description	Annot. Gene Symbol	Annot. Gene ID	Prot Match %	MOI	Virus / ml	Insert Length	pert_type	control_type
ccsbBroad304_05979	ORF000779.1_TRC304.1	pLX_304	NM_001261.4	CDK9	1025	9606	cyclin dependent kinase 9	CDK9	1025	100.0			1116.0	trt	
ccsbBroad304_13129	ORF007469.1_TRC304.1	pLX_304	NM_001352984.2	HMGB4	127540	9606	high mobility group box 4	HMGB4	127540	99.1			336.0	trt	
ccsbBroad304_00289	ORF011627.1_TRC304.1	pLX_304	NM_001805.3	CEBPE	1053	9606	CCAAT enhancer binding protein epsilon	CEBPE	1053	100.0			843.0	trt	
ccsbBroad304_99988	ORFC00002.1_TRC304.1	pLX_304	HcRed.1	HcRed	HcRed	CONTROL		HcRed	HcRed				824.0	control	negcon
ccsbBroad304_07679	ORF015515.1_TRC304.1	pLX_304	NM_133502.3	ZNF274	10782	9606	zinc finger protein 274	ZNF274	10782	99.8			1959.0	trt	
ccsbBroad304_04728	ORF011818.1_TRC304.1	pLX_304	NM_001271893.4	TWIST2	117581	9606	twist family bHLH transcription factor 2	TWIST2	117581	100.0			480.0	trt	
ccsbBroad304_02414	ORF004145.1_TRC304.1	pLX_304	NM_006084.5	IRF9	10379	9606	interferon regulatory factor 9	IRF9	10379	100.0			1179.0	trt	
ccsbBroad304_13050	ORF014125.1_TRC304.1	pLX_304	NM_145044.3	ZNF501	115560	9606	zinc finger protein 501	ZNF501	115560	96.6			786.0	trt	
ccsbBroad304_02306	ORF003809.1_TRC304.1	pLX_304	NM_005710.2	PQBP1	10084	9606	polyglutamine binding protein 1	PQBP1	10084	100.0			795.0	trt	
ccsbBroad304_16086	ORF016168.1_TRC304.1	pLX_304	NM_001007255.3	KLHDC9	126823	9606	kelch domain containing 9	KLHDC9	126823	62.7			789.0	trt	
ccsbBroad304_15703	ORF006475.1_TRC304.1	pLX_304	BC028026.1	PCGF3	10336	9606		PCGF3	10336				288.0	trt	
ccsbBroad304_11591	ORF016424.1_TRC304.1	pLX_304	NM_080796.3	DIDO1	11083	9606	death inducer-obliterator 1	DIDO1	11083	94.1			1632.0	trt	
ccsbBroad304_11567	ORF016551.1_TRC304.1	pLX_304	NM_006696.4	BRD8	10902	9606	bromodomain containing 8	BRD8	10902	96.7			2760.0	trt	
ccsbBroad304_07038	ORF001369.1_TRC304.1	pLX_304	NM_005649.3	ZNF354A	6940	9606	zinc finger protein 354A	ZNF354A	6940	99.8			1815.0	trt	
ccsbBroad304_02384	ORF003610.1_TRC304.1	pLX_304	NM_005871.4	SMNDC1	10285	9606	survival motor neuron domain containing 1	SMNDC1	10285	100.0			714.0	trt	
ccsbBroad304_09391	ORF008321.1_TRC304.1	pLX_304	NM_020892.2	DTX2	113878	9606	deltex E3 ubiquitin ligase 2	DTX2	113878	99.8			1866.0	trt	
ccsbBroad304_14972	ORF006240.1_TRC304.1	pLX_304	NM_006593.4	TBR1	10716	9606	T-box brain transcription factor 1	TBR1	10716	100.0			2046.0	trt	
ccsbBroad304_02671	ORF001463.1_TRC304.1	pLX_304	NM_007265.3	ECD	11319	9606	ecdysoneless cell cycle regulator	ECD	11319	100.0			1932.0	trt	
ccsbBroad304_15705	ORF005545.1_TRC304.1	pLX_304	NM_006339.3	HMG20B	10362	9606	high mobility group 20B	HMG20B	10362	100.0			951.0	trt	
ccsbBroad304_09508	ORF014966.1_TRC304.1	pLX_304	NM_145205.5	HMGB4	127540	9606	high mobility group box 4	HMGB4	127540	98.9			558.0	trt	
ccsbBroad304_07616	ORF002901.1_TRC304.1	pLX_304	NM_001278196.1	ZBTB18	10472	9606	zinc finger and BTB domain containing 18	ZBTB18	10472	99.8			1566.0	trt	
ccsbBroad304_09403	ORF013127.1_TRC304.1	pLX_304	NM_052928.3	SMYD4	114826	9606	SET and MYND domain containing 4	SMYD4	114826	99.6			2412.0	trt	
ccsbBroad304_07655	ORF011625.1_TRC304.1	pLX_304	NM_006468.8	POLR3C	10623	9606	RNA polymerase III subunit C	POLR3C	10623	99.6			1602.0	trt	
ccsbBroad304_13147	ORF005686.1_TRC304.1	pLX_304	NM_138572.3	TAF8	129685	9606	TATA-box binding protein associated factor 8	TAF8	129685	98.7			933.0	trt	
ccsbBroad304_10788	ORF006617.1_TRC304.1	pLX_304	NM_203418.3	RCAN1	1827	9606	regulator of calcineurin 1	RCAN1	1827	88.8			591.0	trt	
ccsbBroad304_07972	ORF006743.1_TRC304.1	pLX_304	NM_014043.4	CHMP2B	25978	9606	charged multivesicular body protein 2B	CHMP2B	25978	100.0			639.0	trt	
ccsbBroad304_06126	ORF004461.1_TRC304.1	pLX_304	NM_001015881.2	TSC22D3	1831	9606	TSC22 domain family member 3	TSC22D3	1831	100.0			231.0	trt	
ccsbBroad304_00567	ORF009299.1_TRC304.1	pLX_304	NM_001159704.1	FHL1	2273	9606	four and a half LIM domains 1	FHL1	2273	100.0			840.0	trt	
ccsbBroad304_13345	ORF007108.1_TRC304.1	pLX_304	XM_011513416.1	ZBTB49	166793	9606	zinc finger and BTB domain containing 49	ZBTB49	166793	35.0			744.0	trt	
ccsbBroad304_11665	ORF010029.1_TRC304.1	pLX_304	XM_017020453.1	PDS5B	23047	9606	PDS5 cohesin associated factor B	PDS5B	23047	35.0			1587.0	trt	
ccsbBroad304_09677	ORF014549.1_TRC304.1	pLX_304	NM_001282725.2	ZNF385B	151126	9606	zinc finger protein 385B	ZNF385B	151126	99.4			1107.0	trt	
ccsbBroad304_02786	ORF009188.1_TRC304.1	pLX_304	NM_012482.5	ZNF281	23528	9606	zinc finger protein 281	ZNF281	23528	100.0			2685.0	trt	
ccsbBroad304_00499	ORF016594.1_TRC304.1	pLX_304	NM_005230.4	ELK3	2004	9606	ETS transcription factor ELK3	ELK3	2004	100.0			1221.0	trt	
ccsbBroad304_06185	ORF006636.1_TRC304.1	pLX_304	NM_001370334.1	EYA1	2138	9606	EYA transcriptional coactivator and phosphatase 1	EYA1	2138	100.0			1776.0	trt	
ccsbBroad304_13330	ORF008458.1_TRC304.1	pLX_304	NM_001308355.1	ZNF433	163059	9606	zinc finger protein 433	ZNF433	163059	100.0			1914.0	trt	
ccsbBroad304_02907	ORF001186.1_TRC304.1	pLX_304	NM_001130110.2	SETBP1	26040	9606	SET binding protein 1	SETBP1	26040	100.0			726.0	trt	
ccsbBroad304_05029	ORF007023.1_TRC304.1	pLX_304	NM_198928.5	PYHIN1	149628	9606	pyrin and HIN domain family member 1	PYHIN1	149628	100.0			1449.0	trt	
ccsbBroad304_07922	ORF004554.1_TRC304.1	pLX_304	NM_012101.4	TRIM29	23650	9606	tripartite motif containing 29	TRIM29	23650	100.0			1764.0	trt	
															
ccsbBroad304_05006	ORF013170.1_TRC304.1	pLX_304	NM_001159860.1	ZNF583	147949	9606	zinc finger protein 583	ZNF583	147949	100.0			1707.0	trt	
ccsbBroad304_02862	ORF008565.1_TRC304.1	pLX_304	NM_012118.4	NOCT	25819	9606	nocturnin	NOCT	25819	100.0			1293.0	trt	
ccsbBroad304_10798	ORF011626.1_TRC304.1	pLX_304	NM_001136178.1	EGR2	1959	9606	early growth response 2	EGR2	1959	95.3			1497.0	trt	
ccsbBroad304_07888	ORF016160.1_TRC304.1	pLX_304	NM_014292.5	CBX6	23466	9606	chromobox 6	CBX6	23466	99.7			1236.0	trt	
ccsbBroad304_09746	ORF000022.1_TRC304.1	pLX_304	NM_001161427.1	ZNF610	162963	9606	zinc finger protein 610	ZNF610	162963	99.5			1257.0	trt	
ccsbBroad304_02869	ORF006470.1_TRC304.1	pLX_304	NM_014034.3	ASF1A	25842	9606	anti-silencing function 1A histone chaperone	ASF1A	25842	100.0			612.0	trt	
ccsbBroad304_09657	ORF013562.1_TRC304.1	pLX_304	NM_153812.3	PHF13	148479	9606	PHD finger protein 13	PHF13	148479	99.6			900.0	trt	
